rank,hand,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AA,6,49.18829,0.00116,4009969486,1,1
2,KK,6,42.96165,0.00204,4009987854,2,2
3,QQ,6,37.88603,0.00162,4009998017,3,3
4,JJ,6,33.56881,0.00113,4010086473,4,4
5,AKs,4,31.06261,0.00071,2673316179,5,5
6,TT,6,29.91563,0.00106,4010006430,6,6
7,AQs,4,29.31178,0.00129,2673337598,7,7
8,KQs,4,28.34071,0.00106,2673321964,8,8
9,AJs,4,27.87838,0.00106,2673353707,9,9
10,AKo,12,27.84596,0.00085,8019981073,10,10
11,KJs,4,26.9524,0.00089,2673339008,11,11
12,ATs,4,26.7029,0.00084,2673339417,12,12
13,99,6,26.63381,0.00152,4010047014,13,13
14,QJs,4,26.2316,0.0012,2673366461,14,14
15,AQo,12,25.91591,0.0012,8019955441,15,15
16,KTs,4,25.82911,0.00079,2673340833,16,16
17,QTs,4,25.15676,0.00106,2673355228,17,17
18,KQo,12,25.03336,0.00114,8020000292,18,18
19,JTs,4,24.86079,0.00101,2673363340,19,19
20,AJo,12,24.3321,0.00099,8020097614,20,20
21,A9s,4,24.12748,0.00049,2673331359,21,21
22,88,6,24.02428,0.00119,4010098664,22,22
23,KJo,12,23.49675,0.00102,8020081131,23,23
24,K9s,4,23.2482,0.00058,2673339441,24,24
25,A8s,4,23.22568,0.00091,2673356908,25,25
26,ATo,12,23.03062,0.00104,8019995705,26,26
27,QJo,12,22.86831,0.00107,8020128108,27,27
28,Q9s,4,22.60707,0.00095,2673359106,28,28
29,A7s,4,22.38977,0.00081,2673399374,29,29
30,T9s,4,22.38745,0.00078,2673349145,30,30
31,J9s,4,22.35281,0.00117,2673375346,31,31
32,KTo,12,22.25061,0.00089,8019989896,32,32
33,A5s,4,22.18761,0.0008,2673370722,33,33
34,77,6,21.85492,0.00057,4010164343,34,34
35,QTo,12,21.67371,0.00103,8020069066,35,36
36,A4s,4,21.67211,0.00064,2673314425,35,36
37,A6s,4,21.59788,0.00105,2673374155,37,37
38,JTo,12,21.47924,0.00085,8020148336,38,38
39,K8s,4,21.37026,0.00063,2673341861,39,39
40,A3s,4,21.1808,0.00079,2673358154,40,40
41,Q8s,4,20.73413,0.00064,2673356458,41,41
42,K7s,4,20.67052,0.00097,2673378550,42,42
43,A2s,4,20.60183,0.00071,2673372148,43,43
44,T8s,4,20.57309,0.00056,2673392426,44,44
45,J8s,4,20.50582,0.00104,2673384447,45,45
46,98s,4,20.26917,0.00077,2673357504,46,46
47,A9o,12,20.22312,0.00062,8020015216,47,47
48,66,6,20.09648,0.00101,4010123830,48,48
49,K6s,4,20.01553,0.00061,2673371443,49,49
