rank,hand,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AA,6,38.72646,0.00153,3973954065,1,1
2,KK,6,32.89802,0.00095,3973907911,2,2
3,QQ,6,28.29569,0.001,3973843207,3,3
4,AKs,4,24.95281,0.00099,2649304768,4,4
5,JJ,6,24.63398,0.00121,3973940984,5,5
6,AQs,4,23.29305,0.00083,2649280020,6,6
7,KQs,4,22.55283,0.00096,2649218747,7,7
8,AJs,4,22.00785,0.00089,2649296300,8,8
9,TT,6,21.74031,0.00108,3973920545,9,9
10,AKo,12,21.57695,0.00079,7947905364,10,10
11,KJs,4,21.33508,0.00065,2649300206,11,11
12,ATs,4,21.00743,0.00066,2649316323,12,12
13,QJs,4,20.78023,0.00087,2649259739,13,13
14,KTs,4,20.39816,0.00081,2649292037,14,14
15,QTs,4,19.90972,0.00077,2649260297,15,15
16,JTs,4,19.76688,0.00085,2649275256,16,16
17,AQo,12,19.70884,0.00082,7947793460,17,17
18,99,6,19.40742,0.0011,3973904024,18,18
19,KQo,12,19.10468,0.00081,7947811721,19,19
20,A9s,4,18.73088,0.00103,2649257932,20,20
21,AJo,12,18.25913,0.00086,7947974716,21,21
22,K9s,4,18.09047,0.00086,2649276428,22,22
23,A8s,4,17.98131,0.00088,2649312991,23,23
24,KJo,12,17.72496,0.00048,7947836794,24,24
25,T9s,4,17.7101,0.00056,2649286900,25,25
26,88,6,17.70179,0.00109,3973881383,26,26
27,Q9s,4,17.62734,0.00077,2649240108,27,27
28,J9s,4,17.53777,0.00078,2649296548,28,28
29,A5s,4,17.39659,0.00117,2649352561,29,29
30,A7s,4,17.35008,0.00077,2649331092,30,30
31,QJo,12,17.29988,0.00074,7947811457,31,31
32,ATo,12,17.12783,0.0008,7947978690,32,32
33,A4s,4,17.05264,0.00088,2649315364,33,33
34,A6s,4,16.81547,0.00077,2649294749,34,34
35,A3s,4,16.71456,0.00098,2649280538,35,35
36,KTo,12,16.66077,0.00068,7947836601,36,36
37,K8s,4,16.53818,0.00068,2649277700,37,37
38,77,6,16.37009,0.00071,3974007555,38,38
39,QTo,12,16.30602,0.00074,7947753338,39,39
40,JTo,12,16.29794,0.00075,7947920463,40,40
41,A2s,4,16.26826,0.00077,2649347184,41,41
42,T8s,4,16.19115,0.00057,2649233854,42,42
43,Q8s,4,16.0562,0.00085,2649240330,43,43
44,J8s,4,15.98182,0.00091,2649290271,44,45
45,K7s,4,15.98063,0.00076,2649290330,44,45
46,98s,4,15.95615,0.00066,2649226612,46,46
47,K6s,4,15.50833,0.00039,2649290714,47,47
48,66,6,15.35545,0.00076,3973929651,48,48
49,K5s,4,15.14366,0.00077,2649299516,49,49
50,87s,4,15.04879,0.00086,2649313086,50,50
51,97s,4,14.84547,0.00068,2649296108,51,51
52,K4s,4,14.83386,0.00062,2649287471,52,52
53,T7s,4,14.78083,0.00089,2649320333,53,53
54,Q7s,4,14.70615,0.00084,2649293329,54,54
55,A9o,12,14.63229,0.00096,7947896927,55,55
56,J7s,4,14.57555,0.00089,2649291245,56,56
57,K3s,4,14.56884,0.00076,2649269081,57,57
58,55,6,14.41814,0.00089,3974022359,58,58
59,76s,4,14.35841,0.00061,2649331046,59,59
60,K2s,4,14.32309,0.00058,2649327500,60,60
61,Q6s,4,14.28807,0.00085,2649280643,61,61
62,T9o,12,14.15677,0.00071,7947825546,62,62
63,K9o,12,14.13022,0.00086,7947825117,63,63
64,86s,4,14.03263,0.00053,2649289620,64,64
65,Q5s,4,13.95305,0.00053,2649244653,65,65
66,44,6,13.86925,0.00062,3973931277,66,66
67,J9o,12,13.85086,0.00073,7947839109,67,67
68,65s,4,13.83361,0.00059,2649308476,68,68
69,Q9o,12,13.80253,0.00077,7947716259,69,69
70,A8o,12,13.7941,0.00091,7947836701,70,70
71,Q4s,4,13.6594,0.0008,2649274963,71,71
