rank,hand,label,notation,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AdAcJdJcTh,AAJJT (ds),(AJ)(AJ)T,12,31.85892,0.01794,20228219,1,1
2,AdAcJhTdTc,AAJTT (ds),(AT)(AT)J,12,31.74283,0.0197,20229175,2,3
3,AdAcJhJcTd,AAJJT (ds),(AJ)(AT)J,24,31.73459,0.0133,40455637,2,3
4,AdAcJcThTd,AAJTT (ds),(AJ)(AT)T,24,31.58057,0.00779,40463087,4,6
5,AdAcQdQcTh,AAQQT (ds),(AQ)(AQ)T,12,31.56255,0.01201,20229564,4,7
6,AdAcQdQcJh,AAQQJ (ds),(AQ)(AQ)J,12,31.55191,0.01565,20223967,4,7
7,AdAcKdKcTh,AAKKT (ds),(AK)(AK)T,12,31.53931,0.01191,20232099,5,7
8,AdAcQhQcTd,AAQQT (ds),(AQ)(AT)Q,24,31.47488,0.01078,40441820,8,11
9,AdAcKdKcQh,AAKKQ (ds),(AK)(AK)Q,12,31.47326,0.00702,20224301,8,11
10,AdAcQhQcJd,AAQQJ (ds),(AQ)(AJ)Q,24,31.45425,0.01542,40447768,8,13
11,AdAcKdKcJh,AAKKJ (ds),(AK)(AK)J,12,31.4518,0.00998,20236242,8,13
12,AdAcKhKcTd,AAKKT (ds),(AK)(AT)K,24,31.44411,0.00717,40464703,10,13
13,AdAcQhJdJc,AAQJJ (ds),(AJ)(AJ)Q,12,31.42456,0.01476,20233397,10,13
14,AdAcKhKcJd,AAKKJ (ds),(AK)(AJ)K,24,31.35718,0.00596,40470371,14,15
15,AdAcKhKcQd,AAKKQ (ds),(AK)(AQ)K,24,31.33549,0.00935,40453347,14,15
16,AdAcQcJhJd,AAQJJ (ds),(AQ)(AJ)J,24,31.23001,0.01323,40452365,16,17
17,AdAcKhQdQc,AAKQQ (ds),(AQ)(AQ)K,12,31.22669,0.01806,20226646,16,17
18,AdAcKcQhQd,AAKQQ (ds),(AK)(AQ)Q,24,31.04871,0.01185,40440017,18,18
19,AdAcQhTdTc,AAQTT (ds),(AT)(AT)Q,12,30.9399,0.00939,20215013,19,20
20,AdAcTdTc9h,AATT9 (ds),(AT)(AT)9,12,30.91311,0.01802,20224080,19,20
21,AdAcThTc9d,AATT9 (ds),(AT)(A9)T,24,30.773,0.01736,40462886,21,22
22,AdAcQcThTd,AAQTT (ds),(AQ)(AT)T,24,30.74381,0.01062,40448321,21,22
23,AdAcQhJcTd,AAQJT (ds),(AJ)(AT)Q,24,30.70306,0.00934,40445277,23,25
24,AdAcKdKc5h,AAKK5 (ds),(AK)(AK)5,12,30.68502,0.01066,20227048,23,25
25,AdAcQcJhTd,AAQJT (ds),(AQ)(AT)J,24,30.67027,0.01487,40447103,23,26
26,AdAcQcJdTh,AAQJT (ds),(AQ)(AJ)T,24,30.64302,0.01636,40447349,25,28
27,AdAcKhJdJc,AAKJJ (ds),(AJ)(AJ)K,12,30.62343,0.01208,20238308,26,28
28,AdAcKhKc5d,AAKK5 (ds),(AK)(A5)K,24,30.62036,0.00729,40464465,26,28
