rank,hand,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AA,6,34.61185,0.00126,4024794392,1,1
2,KK,6,29.17374,0.00151,4024760864,2,2
3,QQ,6,24.92699,0.00139,4024698086,3,3
4,AKs,4,22.65162,0.001,2683218214,4,4
5,JJ,6,21.65416,0.00111,4024681235,5,5
6,AQs,4,21.08929,0.00092,2683173104,6,6
7,KQs,4,20.41801,0.00113,2683163800,7,7
8,AJs,4,19.90495,0.00082,2683157439,8,8
9,KJs,4,19.31158,0.00091,2683171509,9,9
10,AKo,12,19.22051,0.00087,8049580537,10,10
11,TT,6,19.13142,0.00101,4024713552,11,11
12,ATs,4,19.00015,0.0009,2683146392,12,12
13,QJs,4,18.82618,0.00076,2683142016,13,13
14,KTs,4,18.47609,0.00059,2683183838,14,14
15,QTs,4,18.06302,0.00089,2683160208,15,15
16,JTs,4,17.98909,0.00102,2683151953,16,16
17,AQo,12,17.44019,0.00094,8049456070,17,17
18,99,6,17.20289,0.00096,4024704441,18,18
19,KQo,12,16.9218,0.00103,8049551628,19,19
20,A9s,4,16.87632,0.00083,2683180689,20,20
21,K9s,4,16.30493,0.00062,2683181863,21,21
22,A8s,4,16.19719,0.00076,2683186378,22,22
23,T9s,4,16.122,0.0007,2683174885,23,23
24,AJo,12,16.08804,0.00085,8049541166,24,24
25,Q9s,4,15.91363,0.00082,2683131989,25,25
26,J9s,4,15.8919,0.00048,2683132979,26,26
27,88,6,15.84026,0.00074,4024828444,27,27
28,A5s,4,15.76671,0.00059,2683187618,28,28
29,KJo,12,15.65168,0.00068,8049496290,29,29
30,A7s,4,15.64719,0.00066,2683129819,30,30
31,A4s,4,15.48043,0.00062,2683172748,31,31
32,QJo,12,15.31316,0.00085,8049339184,32,32
33,A6s,4,15.2097,0.00072,2683175074,33,33
34,A3s,4,15.19569,0.0005,2683179748,34,34
35,ATo,12,15.05351,0.00084,8049520653,35,35
36,K8s,4,14.89575,0.0007,2683210952,36,36
37,77,6,14.79958,0.0005,4024792211,37,37
38,A2s,4,14.79095,0.00068,2683184451,38,38
39,T8s,4,14.7233,0.00069,2683162132,39,39
40,KTo,12,14.69072,0.00057,8049459875,40,40
41,98s,4,14.52394,0.0005,2683191994,41,41
42,JTo,12,14.5057,0.001,8049336034,42,42
43,Q8s,4,14.47142,0.00074,2683149120,43,43
44,J8s,4,14.45781,0.001,2683146851,44,44
45,QTo,12,14.42945,0.00071,8049425018,45,45
46,K7s,4,14.39662,0.00091,2683194419,46,46
47,66,6,14.01505,0.00055,4024758778,47,47
48,K6s,4,13.99295,0.00051,2683189045,48,48
49,87s,4,13.76316,0.00108,2683220230,49,49
50,K5s,4,13.68351,0.00067,2683173199,50,50
51,97s,4,13.52991,0.00077,2683124273,51,51
52,K4s,4,13.42634,0.00048,2683197549,52,52
53,T7s,4,13.41552,0.00076,2683153663,53,53
54,55,6,13.25284,0.00067,4024761454,54,54
55,Q7s,4,13.24694,0.00074,2683162705,55,55
56,K3s,4,13.21346,0.00059,2683181931,56,56
57,76s,4,13.19455,0.00067,2683151744,57,57
58,J7s,4,13.16087,0.00045,2683169899,58,58
59,K2s,4,13.01709,0.00066,2683165900,59,59
60,44,6,12.89643,0.00063,4024727801,60,60
61,Q6s,4,12.8781,0.00053,2683213819,61,61
62,86s,4,12.84728,0.00059,2683149723,62,62
63,65s,4,12.76536,0.0006,2683167406,63,63
64,A9o,12,12.72271,0.00082,8049454684,64,64
65,33,6,12.6561,0.00077,4024748955,65,65
66,Q5s,4,12.59537,0.00075,2683153887,66,66
67,T9o,12,12.57765,0.00064,8049426386,67,67
68,22,6,12.51537,0.00063,4024716869,68,68
69,54s,4,12.48896,0.00074,2683172088,69,69
70,96s,4,12.38692,0.00067,2683165605,70,70
71,Q4s,4,12.35496,0.00063,2683182612,71,71
72,75s,4,12.3385,0.00076,2683166709,72,72
73,K9o,12,12.30802,0.00061,8049469282,73,73
74,T6s,4,12.2147,0.0007,2683160448,74,74
75,J9o,12,12.19953,0.0005,8049366700,75,75
76,Q3s,4,12.1511,0.0007,2683175600,76,76
77,Q9o,12,12.06792,0.00076,8049395275,77,77
78,J6s,4,12.06035,0.00062,2683131478,78,78
79,Q2s,4,11.96363,0.00068,2683148062,79,79
80,A8o,12,11.96188,0.00054,8049519618,80,80
81,64s,4,11.89376,0.00067,2683190546,81,81
82,J5s,4,11.78918,0.00053,2683188947,82,82
83,85s,4,11.76817,0.0007,2683220961,83,83
84,53s,4,11.63169,0.00049,2683183208,84,84
85,J4s,4,11.55964,0.00072,2683150753,85,85
86,A5o,12,11.45808,0.00055,8049569009,86,86
87,J3s,4,11.36232,0.00045,2683120733,87,87
88,A7o,12,11.34844,0.0005,8049583007,88,88
89,95s,4,11.27283,0.00037,2683170144,89,89
90,74s,4,11.2614,0.00084,2683171714,90,90
91,T5s,4,11.20894,0.00054,2683157095,91,91
92,J2s,4,11.1815,0.00054,2683136044,92,92
93,43s,4,11.14976,0.0004,2683149650,93,93
94,A4o,12,11.14265,0.00063,8049517976,94,94
95,T8o,12,11.04242,0.00056,8049539074,95,95
96,T4s,4,10.97213,0.00058,2683137542,96,96
97,98o,12,10.92758,0.00068,8049506662,97,97
98,A6o,12,10.8635,0.00051,8049590839,98,98
99,63s,4,10.83324,0.00052,2683127148,99,99
100,A3o,12,10.82924,0.00054,8049528719,100,100
101,T3s,4,10.77721,0.00053,2683192795,101,101
102,K8o,12,10.76354,0.0006,8049579939,102,102
103,84s,4,10.66896,0.00055,2683150652,103,103
104,J8o,12,10.62702,0.0009,8049446272,104,104
105,T2s,4,10.60299,0.00048,2683158870,105,105
106,52s,4,10.57985,0.00048,2683198741,106,106
107,Q8o,12,10.48694,0.00075,8049479604,107,107
108,A2o,12,10.3909,0.00056,8049486214,108,108
109,42s,4,10.30975,0.00056,2683157158,109,109
110,94s,4,10.29592,0.00058,2683147299,110,110
111,K7o,12,10.2037,0.00059,8049553601,111,111
112,73s,4,10.18184,0.0006,2683173451,112,112
113,87o,12,10.17117,0.00084,8049518364,113,113
114,93s,4,10.08632,0.00064,2683143046,114,114
115,92s,4,9.91098,0.00073,2683140477,115,115
116,32s,4,9.86545,0.00046,2683137920,116,116
117,97o,12,9.83967,0.00063,8049422818,117,117
118,62s,4,9.7687,0.00052,2683163624,118,118
119,K6o,12,9.75425,0.00037,8049548060,119,119
120,83s,4,9.71977,0.00045,2683159870,120,120
121,T7o,12,9.61774,0.00059,8049455885,121,121
122,76o,12,9.61249,0.00054,8049524122,122,122
123,82s,4,9.52545,0.00066,2683158066,123,123
124,K5o,12,9.41152,0.00041,8049611365,124,124
125,72s,4,9.25083,0.00066,2683122367,125,125
126,J7o,12,9.21439,0.00039,8049383955,126,126
127,65o,12,9.19187,0.00049,8049490407,127,127
128,86o,12,9.17946,0.00053,8049569321,128,128
129,Q7o,12,9.15272,0.00054,8049454704,129,129
130,K4o,12,9.12574,0.00047,8049544220,130,130
131,54o,12,8.9179,0.00052,8049446971,131,131
132,K3o,12,8.89061,0.00045,8049603077,132,132
133,Q6o,12,8.73875,0.00052,8049506975,133,133
134,75o,12,8.69221,0.00048,8049454319,134,134
135,K2o,12,8.67611,0.00052,8049532909,135,135
136,96o,12,8.60308,0.00057,8049431467,136,136
137,Q5o,12,8.42368,0.0006,8049512658,137,137
138,T6o,12,8.31891,0.00061,8049418023,138,138
139,64o,12,8.25745,0.00063,8049461353,139,139
140,Q4o,12,8.15527,0.0005,8049370553,140,140
141,J6o,12,8.02304,0.00041,8049423739,141,141
142,85o,12,8.01997,0.00044,8049608347,142,142
143,53o,12,8.00381,0.00042,8049493355,143,143
144,Q3o,12,7.92876,0.00045,8049434292,144,144
145,Q2o,12,7.72326,0.00046,8049464545,145,145
146,J5o,12,7.71886,0.00055,8049451873,146,146
147,74o,12,7.53697,0.0007,8049474687,147,147
148,43o,12,7.50205,0.00029,8049441735,148,148
149,J4o,12,7.46081,0.00064,8049355990,149,149
150,95o,12,7.40602,0.00037,8049441949,150,150
151,J3o,12,7.24079,0.00041,8049466447,151,151
152,T5o,12,7.2365,0.00053,8049493287,152,152
153,63o,12,7.1254,0.00036,8049533104,153,153
154,J2o,12,7.04258,0.00042,8049445929,154,154
155,T4o,12,6.96978,0.00054,8049432786,155,155
156,52o,12,6.88485,0.00032,8049498019,156,156
157,84o,12,6.8402,0.00043,8049478328,157,157
158,T3o,12,6.7517,0.0004,8049454231,158,158
159,42o,12,6.61062,0.00039,8049463697,159,159
160,T2o,12,6.55925,0.00035,8049535723,160,160
161,73o,12,6.38297,0.00042,8049457459,161,161
162,94o,12,6.35654,0.00051,8049420221,162,162
163,32o,12,6.12993,0.00049,8049427722,163,163
164,93o,12,6.12212,0.00054,8049442268,164,164
165,62o,12,5.99169,0.00035,8049437624,165,165
166,92o,12,5.92836,0.00042,8049461223,166,166
167,83o,12,5.82466,0.00039,8049503991,167,167
168,82o,12,5.60971,0.00056,8049516753,168,168
169,72o,12,5.39182,0.00047,8049414574,169,169
