rank,hand,label,notation,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AdAcJdJcTh,AAJJT (ds),(AJ)(AJ)T,12,29.16859,0.00588,20184123,1,2
2,AdAcKdKcTh,AAKKT (ds),(AK)(AK)T,12,29.1544,0.01638,20183625,1,4
3,AdAcKhKcTd,AAKKT (ds),(AK)(AT)K,24,29.1428,0.00868,40381150,2,4
4,AdAcJhJcTd,AAJJT (ds),(AJ)(AT)J,24,29.11817,0.01229,40389194,2,6
5,AdAcKdKcQh,AAKKQ (ds),(AK)(AK)Q,12,29.10574,0.00995,20188245,4,6
6,AdAcKdKcJh,AAKKJ (ds),(AK)(AK)J,12,29.0852,0.01347,20187658,4,9
7,AdAcKhKcJd,AAKKJ (ds),(AK)(AJ)K,24,29.06852,0.00825,40385184,6,10
8,AdAcKhKcQd,AAKKQ (ds),(AK)(AQ)K,24,29.06047,0.00613,40394425,6,10
9,AdAcJhTdTc,AAJTT (ds),(AT)(AT)J,12,29.05829,0.00836,20193715,6,10
10,AdAcQdQcTh,AAQQT (ds),(AQ)(AQ)T,12,29.04378,0.01489,20195206,7,12
11,AdAcQdQcJh,AAQQJ (ds),(AQ)(AQ)J,12,29.0252,0.01144,20201298,10,12
12,AdAcQhQcTd,AAQQT (ds),(AQ)(AT)Q,24,29.01061,0.00902,40392272,10,12
13,AdAcQhQcJd,AAQQJ (ds),(AQ)(AJ)Q,24,28.9752,0.00712,40391175,13,13
14,AdAcJcThTd,AAJTT (ds),(AJ)(AT)T,24,28.94604,0.00666,40386109,14,14
15,AdAcQhJdJc,AAQJJ (ds),(AJ)(AJ)Q,12,28.85426,0.0193,20188382,15,16
16,AdAcKhQdQc,AAKQQ (ds),(AQ)(AQ)K,12,28.82958,0.0134,20200315,15,16
17,AdAcQcJhJd,AAQJJ (ds),(AQ)(AJ)J,24,28.74044,0.00644,40400563,17,17
18,AdAcKcQhQd,AAKQQ (ds),(AK)(AQ)Q,24,28.70916,0.00561,40393732,18,18
19,AdAcQhTdTc,AAQTT (ds),(AT)(AT)Q,12,28.32031,0.01307,20198905,19,19
20,AdAcKhKc5d,AAKK5 (ds),(AK)(A5)K,24,28.27851,0.00953,40393283,20,21
21,AdAcKdKc5h,AAKK5 (ds),(AK)(AK)5,12,28.2524,0.01097,20201100,20,21
22,AdAcQcThTd,AAQTT (ds),(AQ)(AT)T,24,28.19735,0.00809,40391006,22,22
23,AdAcKhJdJc,AAKJJ (ds),(AJ)(AJ)K,12,28.1471,0.01037,20204274,23,24
24,AdAcKdKc4h,AAKK4 (ds),(AK)(AK)4,12,28.12196,0.00977,20193147,23,26
25,AdAcKhKc4d,AAKK4 (ds),(AK)(A4)K,24,28.11131,0.00753,40395268,24,26
26,AdAcTdTc9h,AATT9 (ds),(AT)(AT)9,12,28.10246,0.01121,20191636,24,26
27,AdAcThTc9d,AATT9 (ds),(AT)(A9)T,24,28.02768,0.00931,40391023,27,28
28,AdAcKcJhJd,AAKJJ (ds),(AK)(AJ)J,24,28.01463,0.00793,40404003,27,28
29,AdAcQhJcTd,AAQJT (ds),(AJ)(AT)Q,24,27.97893,0.01575,40388792,29,31
30,AdAcKhKcTh,AAKKT (ds),(AK)A(KT),24,27.96138,0.00902,40369444,29,31
31,AdAcQcJhTd,AAQJT (ds),(AQ)(AT)J,24,27.94395,0.009,40402581,29,35
32,AdAcQcJdTh,AAQJT (ds),(AQ)(AJ)T,24,27.94112,0.00439,40385052,31,35
33,AdAcJdJcTc,AAJJT (3s2),(AJT)(AJ),12,27.9385,0.0074,20197039,30,35
