rank,hand,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AA,6,73.43592,0.0013,4077773071,1,1
2,KK,6,68.86844,0.00155,4077781387,2,2
3,QQ,6,64.93027,0.00185,4077841187,3,3
4,JJ,6,61.16768,0.00211,4077782466,4,4
5,TT,6,57.57035,0.00182,4077842217,5,5
6,99,6,53.6047,0.00246,4077840162,6,6
7,AKs,4,50.72341,0.00148,2718525771,7,7
8,88,6,49.95028,0.0019,4077830277,8,8
9,AQs,4,49.41571,0.00144,2718539899,9,9
10,AKo,12,48.21148,0.00144,8155628514,10,10
11,AJs,4,48.19635,0.00156,2718523797,11,11
12,KQs,4,47.087,0.0011,2718529791,12,12
13,ATs,4,47.06863,0.00144,2718547439,13,13
14,AQo,12,46.80982,0.0015,8155639358,14,14
15,77,6,46.47474,0.00201,4077697594,15,15
16,KJs,4,45.87848,0.00152,2718530653,16,16
17,AJo,12,45.50105,0.00165,8155569657,17,17
18,KTs,4,44.78685,0.00137,2718529661,18,18
19,A9s,4,44.5507,0.00155,2718557346,19,19
20,KQo,12,44.39069,0.00116,8155636476,20,20
21,ATo,12,44.28888,0.00137,8155632568,21,21
22,QJs,4,44.17939,0.00146,2718549093,22,22
23,A8s,4,43.51344,0.00147,2718538121,23,23
24,66,6,43.18948,0.00222,4077800545,24,24
25,QTs,4,43.10836,0.00164,2718556376,25,25
26,KJo,12,43.09335,0.00163,8155573645,26,26
27,A7s,4,42.38684,0.00155,2718497839,27,27
28,K9s,4,42.29747,0.00102,2718541604,28,28
29,JTs,4,41.94797,0.00152,2718533506,29,29
30,KTo,12,41.91965,0.00145,8155644159,30,30
31,A9o,12,41.57825,0.00146,8155626529,31,31
32,A5s,4,41.43256,0.00157,2718549225,32,32
33,QJo,12,41.35169,0.00152,8155639694,33,33
34,A6s,4,41.15873,0.00146,2718514614,34,34
35,Q9s,4,40.64068,0.00123,2718574631,35,35
36,A4s,4,40.52064,0.00147,2718528437,36,36
37,A8o,12,40.45541,0.00158,8155607680,37,37
38,QTo,12,40.20058,0.00168,8155667963,38,38
39,K8s,4,40.15719,0.00172,2718542760,39,39
40,55,6,40.05739,0.00179,4077825265,40,40
41,A3s,4,39.66826,0.00146,2718541831,41,41
42,J9s,4,39.47199,0.00117,2718547523,42,42
43,K7s,4,39.26891,0.00129,2718497887,43,43
44,K9o,12,39.23966,0.0011,8155624553,44,44
45,A7o,12,39.23566,0.00164,8155498896,45,45
46,JTo,12,39.02757,0.00156,8155626476,46,46
