rank,hand,label,notation,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AdAcJdJcTh,AAJJT (ds),(AJ)(AJ)T,12,41.25221,0.01861,19329198,1,2
2,AdAcJhTdTc,AAJTT (ds),(AT)(AT)J,12,41.24977,0.01682,19329908,1,2
3,AdAcJhJcTd,AAJJT (ds),(AJ)(AT)J,24,40.96247,0.01613,38658725,3,3
4,AdAcJcThTd,AAJTT (ds),(AJ)(AT)T,24,40.919,0.00847,38658913,4,4
5,AdAcTdTc9h,AATT9 (ds),(AT)(AT)9,12,40.76388,0.0152,19334959,5,5
6,AdAcQdQcTh,AAQQT (ds),(AQ)(AQ)T,12,40.57926,0.02168,19338629,6,7
7,AdAcQdQcJh,AAQQJ (ds),(AQ)(AQ)J,12,40.56895,0.01922,19335800,6,7
8,AdAcQhJdJc,AAQJJ (ds),(AJ)(AJ)Q,12,40.49281,0.01336,19333332,8,9
9,AdAcThTc9d,AATT9 (ds),(AT)(A9)T,24,40.45712,0.01457,38669265,8,10
10,AdAcTdTc8h,AATT8 (ds),(AT)(AT)8,12,40.44401,0.0191,19329239,9,10
11,AdAcTh9d9c,AAT99 (ds),(A9)(A9)T,12,40.35454,0.01376,19335538,11,11
12,AdAcQhJcTd,AAQJT (ds),(AJ)(AT)Q,24,40.30382,0.01055,38664378,12,15
13,AdAcQcJhTd,AAQJT (ds),(AQ)(AT)J,24,40.29735,0.01582,38665576,12,15
14,AdAcQhQcTd,AAQQT (ds),(AQ)(AT)Q,24,40.28991,0.01633,38684465,12,16
15,AdAcQcJdTh,AAQJT (ds),(AQ)(AJ)T,24,40.27294,0.015,38662700,12,17
16,AdAcQhQcJd,AAQQJ (ds),(AQ)(AJ)Q,24,40.25291,0.01472,38671723,14,17
17,AdAcQhTdTc,AAQTT (ds),(AT)(AT)Q,12,40.23449,0.01932,19335225,15,17
18,AdAcQcJhJd,AAQJJ (ds),(AQ)(AJ)J,24,40.18085,0.01849,38660128,18,18
19,AdAcThTc8d,AATT8 (ds),(AT)(A8)T,24,40.1234,0.01396,38665092,19,19
20,AdAcTc9h9d,AAT99 (ds),(AT)(A9)9,24,40.06947,0.01297,38667625,20,24
21,AdAcJhTc9d,AAJT9 (ds),(AT)(A9)J,24,40.06396,0.01119,38669780,20,24
22,AdAcKdKcTh,AAKKT (ds),(AK)(AK)T,12,40.04527,0.01771,19328526,20,25
23,AdAcJcTh9d,AAJT9 (ds),(AJ)(A9)T,24,40.04011,0.01372,38666410,20,25
24,AdAcJcTd9h,AAJT9 (ds),(AJ)(AT)9,24,40.03857,0.01568,38668338,20,25
25,AdAcJdJc9h,AAJJ9 (ds),(AJ)(AJ)9,12,39.99834,0.02038,19334209,22,26
26,AdAcKdKcJh,AAKKJ (ds),(AK)(AK)J,12,39.95689,0.01142,19328511,25,27
27,AdAcKdKcQh,AAKKQ (ds),(AK)(AK)Q,12,39.9424,0.01006,19327957,26,27
28,AdAcQcThTd,AAQTT (ds),(AQ)(AT)T,24,39.90467,0.01359,38675025,28,29
29,AdAcKhQdQc,AAKQQ (ds),(AQ)(AQ)K,12,39.87574,0.01965,19329594,28,29
30,AdAcKhKcTd,AAKKT (ds),(AK)(AT)K,24,39.75775,0.01259,38654408,30,33
31,AdAcJdJc8h,AAJJ8 (ds),(AJ)(AJ)8,12,39.74965,0.02016,19331861,30,34
32,AdAcJdJcTc,AAJJT (3s2),(AJT)(AJ),12,39.72891,0.01754,19328898,30,35
33,AdAcTdTc7h,AATT7 (ds),(AT)(AT)7,12,39.71715,0.021,19328890,30,36
34,AdAcJhJc9d,AAJJ9 (ds),(AJ)(A9)J,24,39.70765,0.02069,38668812,31,36
35,AdAcJcTdTc,AAJTT (3s2),(AJT)(AT),12,39.69528,0.01341,19326716,32,36
36,AdAcTh8d8c,AAT88 (ds),(A8)(A8)T,12,39.67908,0.01329,19332669,33,37
37,AdAcKhKcJd,AAKKJ (ds),(AK)(AJ)K,24,39.65241,0.00697,38655457,36,39
38,AdAcKhKcQd,AAKKQ (ds),(AK)(AQ)K,24,39.63772,0.0076,38655708,37,40
39,AdAcJcTd8h,AAJT8 (ds),(AJ)(AT)8,24,39.63332,0.01042,38660368,37,41
40,AdAcJhTc8d,AAJT8 (ds),(AT)(A8)J,24,39.62653,0.01025,38662746,38,41
41,AdAcJcTh8d,AAJT8 (ds),(AJ)(A8)T,24,39.60835,0.00897,38659803,39,41
42,AdAcKdKc5h,AAKK5 (ds),(AK)(AK)5,12,39.57195,0.00972,19326278,42,43
43,AdAcKcQhQd,AAKQQ (ds),(AK)(AQ)Q,24,39.54097,0.01516,38665872,42,43
44,AdAcTc9d8h,AAT98 (ds),(AT)(A9)8,24,39.49861,0.01384,38665370,44,49
45,AdAcKhJdJc,AAKJJ (ds),(AJ)(AJ)K,12,39.497,0.0185,19329299,43,50
46,AdAcTh9c8d,AAT98 (ds),(A9)(A8)T,24,39.49446,0.01338,38663981,44,49
47,AdAcTc9h8d,AAT98 (ds),(AT)(A8)9,24,39.49253,0.01147,38669140,44,49
48,AdAcKhJcTd,AAKJT (ds),(AJ)(AT)K,24,39.48272,0.00775,38655158,44,50
49,AdAcKcJhTd,AAKJT (ds),(AK)(AT)J,24,39.47265,0.0143,38657640,44,51
50,AdAcKcJdTh,AAKJT (ds),(AK)(AJ)T,24,39.45319,0.01551,38658670,48,51
51,AdAcJhJc8d,AAJJ8 (ds),(AJ)(A8)J,24,39.44718,0.01371,38655465,49,51
52,AdAcTc8h8d,AAT88 (ds),(AT)(A8)8,24,39.41132,0.01108,38670063,52,54
53,AdAcQdQc9h,AAQQ9 (ds),(AQ)(AQ)9,12,39.39669,0.01893,19336137,52,54
54,AdAcThTc7d,AATT7 (ds),(AT)(A7)T,24,39.38798,0.01556,38663902,52,54
55,AdAcKdKc4h,AAKK4 (ds),(AK)(AK)4,12,39.33173,0.01464,19328635,55,57
56,AdAcJh9d9c,AAJ99 (ds),(A9)(A9)J,12,39.32188,0.01759,19335651,55,57
57,AdAcKhTdTc,AAKTT (ds),(AT)(AT)K,12,39.30804,0.01419,19329716,55,58
58,AdAcKhKc5d,AAKK5 (ds),(AK)(A5)K,24,39.28074,0.00695,38658894,57,59
59,AdAcJhJcTh,AAJJT (ds),(AJ)A(JT),24,39.25567,0.01127,38663589,58,61
60,AdAcTdTc9c,AATT9 (3s2),(AT9)(AT),12,39.24073,0.015,19331975,59,64
61,AdAcQdQc5h,AAQQ5 (ds),(AQ)(AQ)5,12,39.22468,0.02242,19335032,59,67
62,AdAcQhTc9d,AAQT9 (ds),(AT)(A9)Q,24,39.22229,0.00974,38672571,60,65
63,AdAcJhThTc,AAJTT (ds),(AT)A(JT),24,39.21736,0.00819,38665928,60,65
64,AdAcQdQc8h,AAQQ8 (ds),(AQ)(AQ)8,12,39.20568,0.02289,19334739,59,67
65,AdAcQcTd9h,AAQT9 (ds),(AQ)(AT)9,24,39.19736,0.01519,38674396,61,67
66,AdAcQcTh9d,AAQT9 (ds),(AQ)(A9)T,24,39.19198,0.00696,38670055,64,67
67,AdAcKcJhJd,AAKJJ (ds),(AK)(AJ)J,24,39.17783,0.01316,38658527,64,67
68,AdAc9d9c8h,AA998 (ds),(A9)(A9)8,12,39.12555,0.0192,19332613,68,69
69,AdAcQhQc9d,AAQQ9 (ds),(AQ)(A9)Q,24,39.09174,0.01053,38674195,68,71
70,AdAcJdJc7h,AAJJ7 (ds),(AJ)(AJ)7,12,39.06659,0.01913,19331280,69,75
71,AdAcQdQcTc,AAQQT (3s2),(AQT)(AQ),12,39.06286,0.02172,19343749,69,78
72,AdAc9h8d8c,AA988 (ds),(A8)(A8)9,12,39.05363,0.01494,19331705,70,78
73,AdAcKdKc3h,AAKK3 (ds),(AK)(AK)3,12,39.05142,0.01626,19327105,70,79
74,AdAcKhKc4d,AAKK4 (ds),(AK)(A4)K,24,39.02564,0.01159,38652046,70,80
75,AdAcQhQcTh,AAQQT (ds),(AQ)A(QT),24,39.02261,0.01481,38686133,70,81
76,AdAcKhKcTh,AAKKT (ds),(AK)A(KT),24,39.02174,0.01049,38654380,71,80
77,AdAcQdQcJc,AAQQJ (3s2),(AQJ)(AQ),12,39.01606,0.02113,19338073,70,82
78,AdAcQdQc4h,AAQQ4 (ds),(AQ)(AQ)4,12,39.00824,0.02165,19331345,71,84
79,AdAcJc9h9d,AAJ99 (ds),(AJ)(A9)9,24,39.00615,0.01615,38666893,73,82
80,AdAcQhQcJh,AAQQJ (ds),(AQ)A(QJ),24,38.9895,0.0159,38675463,74,84
81,AdAcJdJc5h,AAJJ5 (ds),(AJ)(AJ)5,12,38.97393,0.02102,19330476,77,86
82,AdAcKcThTd,AAKTT (ds),(AK)(AT)T,24,38.96992,0.01376,38661051,77,84
83,AdAcTdTc6h,AATT6 (ds),(AT)(AT)6,12,38.95094,0.0214,19341863,80,90
84,AdAcQcJdJc,AAQJJ (3s2),(AQJ)(AJ),12,38.94724,0.02201,19335685,80,90
85,AdAcKhKcJh,AAKKJ (ds),(AK)A(KJ),24,38.93333,0.00523,38653072,83,90
86,AdAcQhQc5d,AAQQ5 (ds),(AQ)(A5)Q,24,38.9301,0.01913,38679888,81,90
87,AdAcKhKcQh,AAKKQ (ds),(AK)A(KQ),24,38.92578,0.00859,38664329,83,90
88,AdAcQhJhJc,AAQJJ (ds),(AJ)A(QJ),24,38.91444,0.01601,38671330,83,90
89,AdAcTdTc8c,AATT8 (3s2),(AT8)(AT),12,38.90867,0.01631,19336377,83,90
90,AdAcQhQc8d,AAQQ8 (ds),(AQ)(A8)Q,24,38.90714,0.0154,38675677,83,90
91,AdAcKdKc9h,AAKK9 (ds),(AK)(AK)9,12,38.84473,0.01751,19334968,91,99
92,AdAcTc9d9c,AAT99 (3s2),(AT9)(A9),12,38.84439,0.00652,19336337,91,97
93,AdAcKdKc7h,AAKK7 (ds),(AK)(AK)7,12,38.84199,0.01655,19324430,91,99
94,AdAcKdKc6h,AAKK6 (ds),(AK)(AK)6,12,38.834,0.01592,19325480,91,99
95,AdAcTdTc5h,AATT5 (ds),(AT)(AT)5,12,38.8334,0.02685,19325687,91,102
96,AdAc9h9c8d,AA998 (ds),(A9)(A8)9,24,38.83257,0.01602,38662971,91,99
