rank,hand,label,notation,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AdAcKhKcTd,AAKKT (ds),(AK)(AT)K,24,27.50012,0.00752,40440971,1,1
2,AdAcKdKcTh,AAKKT (ds),(AK)(AK)T,12,27.43736,0.01012,20220942,2,2
3,AdAcKhKcJd,AAKKJ (ds),(AK)(AJ)K,24,27.40611,0.00872,40445411,3,6
4,AdAcKhKcQd,AAKKQ (ds),(AK)(AQ)K,24,27.39245,0.00757,40444147,3,6
5,AdAcKdKcQh,AAKKQ (ds),(AK)(AK)Q,12,27.39122,0.00585,20220442,3,6
6,AdAcKdKcJh,AAKKJ (ds),(AK)(AK)J,12,27.38587,0.00886,20222561,3,6
7,AdAcQhQcTd,AAQQT (ds),(AQ)(AT)Q,24,27.22112,0.01313,40457213,7,8
8,AdAcJdJcTh,AAJJT (ds),(AJ)(AJ)T,12,27.2027,0.00694,20225427,7,10
9,AdAcJhJcTd,AAJJT (ds),(AJ)(AT)J,24,27.19081,0.00708,40456459,8,10
10,AdAcQdQcTh,AAQQT (ds),(AQ)(AQ)T,12,27.18184,0.01255,20227815,8,12
11,AdAcQhQcJd,AAQQJ (ds),(AQ)(AJ)Q,24,27.15658,0.01026,40449316,10,12
12,AdAcQdQcJh,AAQQJ (ds),(AQ)(AQ)J,12,27.14964,0.0117,20225975,10,12
13,AdAcJhTdTc,AAJTT (ds),(AT)(AT)J,12,27.10067,0.01027,20224208,13,14
14,AdAcKhQdQc,AAKQQ (ds),(AQ)(AQ)K,12,27.07529,0.00889,20220922,13,14
15,AdAcJcThTd,AAJTT (ds),(AJ)(AT)T,24,27.03159,0.00463,40453053,15,15
16,AdAcQhJdJc,AAQJJ (ds),(AJ)(AJ)Q,12,27.00346,0.01006,20223092,16,17
17,AdAcKcQhQd,AAKQQ (ds),(AK)(AQ)Q,24,26.99431,0.01108,40450288,16,17
18,AdAcQcJhJd,AAQJJ (ds),(AQ)(AJ)J,24,26.90693,0.00712,40444454,18,18
19,AdAcKhKc5d,AAKK5 (ds),(AK)(A5)K,24,26.57985,0.00525,40440902,19,19
20,AdAcKdKc5h,AAKK5 (ds),(AK)(AK)5,12,26.48641,0.01264,20222555,20,20
21,AdAcQhTdTc,AAQTT (ds),(AT)(AT)Q,12,26.43782,0.01488,20226039,21,22
22,AdAcKhKc4d,AAKK4 (ds),(AK)(A4)K,24,26.42162,0.00586,40455604,21,22
23,AdAcKdKc4h,AAKK4 (ds),(AK)(AK)4,12,26.37274,0.0084,20228225,23,24
24,AdAcKhJdJc,AAKJJ (ds),(AJ)(AJ)K,12,26.35754,0.00937,20228451,23,25
25,AdAcQcThTd,AAQTT (ds),(AQ)(AT)T,24,26.34716,0.00821,40457290,24,25
26,AdAcKdKcTc,AAKKT (3s2),(AKT)(AK),12,26.28551,0.01028,20220995,26,26
27,AdAcKcJhJd,AAKJJ (ds),(AK)(AJ)J,24,26.26042,0.00545,40442995,27,28
28,AdAcKhKc9d,AAKK9 (ds),(AK)(A9)K,24,26.25548,0.01009,40443780,27,28
29,AdAcKhKc3d,AAKK3 (ds),(AK)(A3)K,24,26.22611,0.00507,40440878,29,30
30,AdAcKdKc3h,AAKK3 (ds),(AK)(AK)3,12,26.20739,0.00966,20226837,29,31
31,AdAcKdKcJc,AAKKJ (3s2),(AKJ)(AK),12,26.19995,0.00796,20214817,30,32
32,AdAcKhKcTh,AAKKT (ds),(AK)A(KT),24,26.18096,0.00561,40444683,31,34
33,AdAcKhKc7d,AAKK7 (ds),(AK)(A7)K,24,26.16796,0.00987,40447044,32,37
34,AdAcKdKcQc,AAKKQ (3s2),(AKQ)(AK),12,26.16675,0.00996,20222850,32,37
35,AdAcKhKc6d,AAKK6 (ds),(AK)(A6)K,24,26.15942,0.00669,40441668,33,37
36,AdAcKdKc9h,AAKK9 (ds),(AK)(AK)9,12,26.15306,0.01142,20227133,33,37
37,AdAcKhKc8d,AAKK8 (ds),(AK)(A8)K,24,26.15014,0.00605,40442315,33,37
38,AdAcKhKcJh,AAKKJ (ds),(AK)A(KJ),24,26.09746,0.00748,40454698,38,41
39,AdAcKhKcQh,AAKKQ (ds),(AK)A(KQ),24,26.09404,0.01087,40438675,38,41
40,AdAcKdKc6h,AAKK6 (ds),(AK)(AK)6,12,26.08707,0.01155,20218476,38,43
41,AdAcKdKc7h,AAKK7 (ds),(AK)(AK)7,12,26.08341,0.00714,20227552,38,42
42,AdAcTdTc9h,AATT9 (ds),(AT)(AT)9,12,26.06661,0.00598,20219221,40,43
43,AdAcKdKc8h,AAKK8 (ds),(AK)(AK)8,12,26.05697,0.00993,20217427,42,45
44,AdAcJdJcTc,AAJJT (3s2),(AJT)(AJ),12,26.04046,0.00624,20234260,43,47
45,AdAcQdQcTc,AAQQT (3s2),(AQT)(AQ),12,26.03676,0.00614,20222825,43,48
46,AdAcThTc9d,AATT9 (ds),(AT)(A9)T,24,26.02267,0.00886,40450933,44,50
47,AdAcKdKc2h,AAKK2 (ds),(AK)(AK)2,12,26.01922,0.00989,20217901,44,51
48,AcKhKdQdQc,AKKQQ (ds),(AQ)(KQ)K,24,26.01565,0.01063,40462524,45,51
49,AdAcQhJcTd,AAQJT (ds),(AJ)(AT)Q,24,26.01083,0.0091,40457798,46,52
50,AdAcKhKc2d,AAKK2 (ds),(AK)(A2)K,24,26.00243,0.01123,40444708,46,52
