rank,hand,label,notation,combos,equity_pct,hi_equity_pct,lo_equity_pct,hi_win_pct,hi_tie_pct,lo_win_pct,lo_tie_pct,hi_numerator,lo_numerator,denominator,hi_win_count,hi_tie_count,lo_win_count,lo_tie_count,deals,rank_low,rank_high
28,AdAc5c2h,AA52 (ss),(A5)A2,24,69.992923,48.170567,21.822356,64.431781,0.679285,42.665301,1.95882,9772017034608,4426944577536,20286281917440,3267703176744,34450422768,2163800823168,99342931200,5071570479360,28,28
29,AdAc5h4c,AA54 (ss),(A4)A5,24,69.923851,49.007475,20.916375,65.940691,0.969712,40.928015,1.809472,9941794587840,4243154900736,20286281917440,3344228639496,49179630384,2075693134080,91768632576,5071570479360,29,29
30,AdAc5c4h,AA54 (ss),(A5)A4,24,69.913626,48.997251,20.916375,65.922913,0.969867,40.928015,1.809472,9939720430536,4243154900736,20286281917440,3343327002384,49187495592,2075693134080,91768632576,5071570479360,30,30
31,AdAc7c6d,AA76 (ds),(A7)(A6),12,69.79907,51.667688,18.131382,69.258731,0.8932,35.459775,1.60598,5240726392704,1839091668096,10143140958720,1756252670856,22649621856,899183734656,40724198784,2535785239680,31,31
32,AdAc3c2c,AA32 (3s),(A32)A,12,69.722346,47.147484,22.574861,62.826164,0.687443,44.090158,2.119129,4782235798128,2289800016000,10143140958720,1593136602132,17432082732,1118031722112,53736571776,2535785239680,32,32
33,AdAc8c2d,AA82 (ds),(A8)(A2),12,69.714591,50.153388,19.561203,66.873421,0.451876,38.143128,1.958556,5087128805100,1984120404096,10143140958720,1695766339356,11458611324,967227811008,49664782080,2535785239680,33,33
34,AdAc4c3c,AA43 (3s),(A43)A,12,69.589204,47.712108,21.877096,63.866809,0.830543,42.77376,1.960863,4839506399652,2219024675328,10143140958720,1619525114052,21060779352,1084650703872,49723267584,2535785239680,34,34
35,AdAc4c2c,AA42 (3s),(A42)A,12,69.580668,47.307189,22.273479,63.13862,0.684888,43.528469,2.036977,4798434892860,2259230332800,10143140958720,1601059795980,17367290100,1103788482624,51653367552,2535785239680,35,35
36,AdAc3h2h,AA32 (ss),AA(32),12,69.515859,46.940998,22.574861,62.602685,0.699716,44.090158,2.119129,4761291563580,2289800016000,10143140958720,1587469653372,17743292808,1118031722112,53736571776,2535785239680,36,36
37,AdAc8c3d,AA83 (ds),(A8)(A3),12,69.48985,50.309109,19.180741,67.176115,0.453463,37.420261,1.882442,5102923848240,1945529598720,10143140958720,1703442019920,11498846340,948897458304,47734682112,2535785239680,37,37
38,AdAc8c4d,AA84 (ds),(A8)(A4),12,69.477182,50.81164,18.665542,68.109427,0.581055,36.42648,1.809208,5153896305264,1893272239104,10143140958720,1727108798904,14734298400,923697303168,45877632768,2535785239680,38,38
39,AdAc4h3h,AA43 (ss),AA(43),12,69.381792,47.504696,21.877096,63.641925,0.841848,42.77376,1.960863,4818468259572,2219024675328,10143140958720,1613822545716,21347466888,1084650703872,49723267584,2535785239680,39,39
40,AdAc4h2h,AA42 (ss),AA(42),12,69.37052,47.097041,22.273479,62.907799,0.697161,43.528469,2.036977,4777119253308,2259230332800,10143140958720,1595206686228,17678509956,1103788482624,51653367552,2535785239680,40,40
41,AdAc5c3c,AA53 (3s),(A53)A,12,69.331122,47.894388,21.436734,64.180573,0.828183,41.932115,1.882705,4857995261724,2174358146688,10143140958720,1627481491824,21000945396,1063308390528,47741365632,2535785239680,41,41
42,AdAc8c5d,AA85 (ds),(A8)(A5),12,69.317785,51.291495,18.026289,68.836629,0.710754,35.183151,1.738855,5202568687668,1828431929472,10143140958720,1745549087880,18023192796,892169147712,44093634048,2535785239680,42,42
43,AdAc5c2c,AA52 (3s),(A52)A,12,69.28902,47.466664,21.822356,63.405788,0.684503,42.665301,1.95882,4814610687024,2213472288768,10143140958720,1607834607180,17357521380,1081900411584,49671465600,2535785239680,43,43
44,AdAc6h3c,AA63 (ss),(A3)A6,24,69.229638,48.387862,20.841777,64.77465,0.686402,40.761116,1.844875,9816098037504,4228021574400,20286281917440,3285092029128,34811369088,2067228707712,93564158976,5071570479360,44,44
45,AdAc5c4c,AA54 (3s),(A54)A,12,69.210545,48.294169,20.916375,64.897585,0.975643,40.928015,1.809472,4898545673844,2121577450368,10143140958720,1645663370532,24740218704,1037846567040,45884316288,2535785239680,45,45
