rank,hand,label,notation,combos,equity_pct,win_pct,tie_pct,win_count,tie_count,denominator,rank_low,rank_high
5250,Ac9c7d6h,A976 (ss),(A9)76,24,52.664696,51.723987,1.881419,2623218450408,95417483136,5071570479360,5250,5250
5251,AcQc6d6c,AQ66 (3s),(AQ6)6,12,52.662235,52.204856,0.914757,1323803040012,23196281820,2535785239680,5251,5251
5252,Kc9d6h6c,K966 (ss),(K6)96,24,52.661905,52.226753,0.870304,2648716605744,44138070360,5071570479360,5252,5252
5253,KcQdJc5h,KQJ5 (ss),(KJ)Q5,24,52.661109,51.690266,1.941686,2621508289296,98473980456,5071570479360,5253,5253
5254,AcKcTc5c,AKT5 (m),(AKT5),4,52.6609,51.636696,2.048408,436465235052,17314411428,845261746560,5254,5254
5255,Qc8c7h7d,Q877 (ss),(Q8)77,12,52.660291,52.198403,0.923775,1323639407640,23424961104,2535785239680,5255,5255
5256,AcKdTc3c,AKT3 (3s),(AT3)K,12,52.656775,51.645282,2.022986,1309613436972,51298586076,2535785239680,5256,5256
5257,QcJd9h7d,QJ97 (ss),Q(J7)9,24,52.65662,51.634141,2.044959,2618661844344,103711528248,5071570479360,5257,5257
5258,Jc9d7d5c,J975 (ds),(J5)(97),12,52.655617,51.79847,1.714293,1313497964460,43470791376,2535785239680,5258,5258
5259,KcQc7d5h,KQ75 (ss),(KQ)75,24,52.655437,51.635795,2.039284,2618745742968,103423716216,5071570479360,5259,5259
5260,QcJc6h6d,QJ66 (ss),(QJ)66,12,52.655022,52.123007,1.06403,1321727521872,26981518992,2535785239680,5260,5260
5261,QcJd9d3c,QJ93 (ds),(Q3)(J9),12,52.652576,51.815459,1.674234,1313928750576,42454990524,2535785239680,5261,5261
5262,Kc8d7c5d,K875 (ds),(K7)(85),12,52.651705,51.846953,1.609504,1314727386696,40813559364,2535785239680,5262,5262
5263,JcTd9h8d,JT98 (ss),J(T8)9,24,52.650734,51.602618,2.096233,2617063128960,106311950448,5071570479360,5263,5263
5264,KcJdTd6h,KJT6 (ss),K(JT)6,24,52.64892,51.654322,1.989197,2619685337016,100883532000,5071570479360,5264,5264
5265,Ac9d7c6h,A976 (ss),(A7)96,24,52.648701,51.707731,1.881939,2622394045704,95443844520,5071570479360,5265,5265
5266,JcTd8c7h,JT87 (ss),(J8)T7,24,52.64769,51.587541,2.120298,2616298476384,107532407688,5071570479360,5266,5266
5267,KcJc9c7c,KJ97 (m),(KJ97),4,52.647046,51.590847,2.112399,436077692800,17855301180,845261746560,5267,5267
5268,AcQc7d4h,AQ74 (ss),(AQ)74,24,52.643788,51.669998,1.94758,2620480357032,98772871344,5071570479360,5268,5268
5269,QcJd9c3d,QJ93 (ds),(Q9)(J3),12,52.643703,51.806599,1.674209,1313704087260,42454342020,2535785239680,5269,5269
5270,Jc9d7c5d,J975 (ds),(J7)(95),12,52.643689,51.786546,1.714286,1313195594760,43470617064,2535785239680,5270,5270
5271,Jc8h8d6c,J886 (ss),(J6)88,12,52.640919,52.268152,0.745534,1325408073240,18905144868,2535785239680,5271,5271
5272,JdJc8h2s,JJ82 (r),JJ82,12,52.6407,52.348911,0.583578,1327455949548,14798280252,2535785239680,5272,5272
5273,AcQcJc3c,AQJ3 (m),(AQJ3),4,52.639121,51.605674,2.066894,436203024148,17470664244,845261746560,5273,5273
5274,Ac9d7h6c,A976 (ss),(A6)97,24,52.637168,51.695784,1.882769,2621788113408,95485965360,5071570479360,5274,5274
5275,9d9c8h3c,9983 (ss),(93)98,24,52.632247,52.279114,0.706265,2651372113704,35818739760,5071570479360,5275,5275
5276,AcTc9c5d,AT95 (3s),(AT9)5,12,52.632075,51.633266,1.997618,1309308744912,50655309864,2535785239680,5276,5276
5277,KcQc9d6c,KQ96 (3s),(KQ6)9,12,52.631306,51.599331,2.06395,1308448217064,52337352072,2535785239680,5277,5277
5278,9d9c6c4h,9964 (ss),(96)94,24,52.630367,52.235917,0.788899,2649181369752,40009554624,5071570479360,5278,5278
5279,KcQd7c3d,KQ73 (ds),(K7)(Q3),12,52.627808,51.816718,1.622181,1313960685024,41135019648,2535785239680,5279,5279
5280,KcQd5c2d,KQ52 (ds),(K5)(Q2),12,52.627693,51.777993,1.6994,1312978692708,43093136568,2535785239680,5280,5280
5281,AcKdJc2c,AKJ2 (3s),(AJ2)K,12,52.627446,51.615371,2.02415,1308854958468,51328107564,2535785239680,5281,5281
5282,KcQd5d2c,KQ52 (ds),(K2)(Q5),12,52.627206,51.777512,1.699389,1312966502796,43092846048,2535785239680,5282,5282
5283,AcTd7d4h,AT74 (ss),A(T7)4,24,52.62678,51.595089,2.063382,2616681320592,104645849568,5071570479360,5283,5283
5284,Ac8d7c3d,A873 (ds),(A7)(83),12,52.625184,51.817187,1.615994,1313972591520,40978134096,2535785239680,5284,5284
5285,KcQd7d3c,KQ73 (ds),(K3)(Q7),12,52.624484,51.813416,1.622136,1313876947032,41133889680,2535785239680,5285,5285
5286,Jc8h8d5c,J885 (ss),(J5)88,12,52.621086,52.256331,0.72951,1325108328336,18498810576,2535785239680,5286,5286
5287,KcJcTd5h,KJT5 (ss),(KJ)T5,24,52.615704,51.631964,1.967479,2618551453560,99782090496,5071570479360,5287,5287
5288,QcTd8h7h,QT87 (ss),QT(87),24,52.61493,51.567001,2.095859,2615256787272,106292955312,5071570479360,5288,5288
5289,KcJc5d3d,KJ53 (ds),(KJ)(53),12,52.613844,51.739843,1.748002,1312011309432,44325575268,2535785239680,5289,5289
5290,Ac7h7d5d,A775 (ss),A(75)7,24,52.611211,52.244163,0.734097,2649599540400,37230252120,5071570479360,5290,5290
5291,Ac7d7c6c,A776 (3s),(A76)7,12,52.609517,52.251784,0.715466,1324993038156,18142682100,2535785239680,5291,5291
5292,AcJd9h6d,AJ96 (ss),A(J6)9,24,52.608987,51.637796,1.942382,2618847237096,98509263480,5071570479360,5292,5292
5293,AcJdTd2d,AJT2 (3s),A(JT2),12,52.607954,51.564342,2.087223,1307560984212,52927503012,2535785239680,5293,5293
5294,AcJd9h4c,AJ94 (ss),(A4)J9,24,52.605095,51.648271,1.913648,2619378446064,97052006952,5071570479360,5294,5294
5295,KcJd7c5h,KJ75 (ss),(K7)J5,24,52.60508,51.565804,2.078552,2615196091224,105415247184,5071570479360,5295,5295
5296,KcQd5h5c,KQ55 (ss),(K5)Q5,24,52.605034,52.108269,0.99353,2642707594248,50387567304,5071570479360,5296,5296
5297,AcQd3c2d,AQ32 (ds),(A3)(Q2),12,52.604987,51.758562,1.692851,1312485969168,42927054192,2535785239680,5297,5297
5298,AcQd3d2c,AQ32 (ds),(A2)(Q3),12,52.604805,51.758379,1.692851,1312481346720,42927053616,2535785239680,5298,5298
5299,9d9c6h4c,9964 (ss),(94)96,24,52.604744,52.209844,0.789801,2647859022120,40055296464,5071570479360,5299,5299
5300,JcTd8h7c,JT87 (ss),(J7)T8,24,52.603007,51.543014,2.119986,2614040277408,107516606472,5071570479360,5300,5300
5301,AcQc9c7c,AQ97 (m),(AQ97),4,52.602355,51.573485,2.057741,435930938856,17393296680,845261746560,5301,5301
5302,JcTc9d4d,JT94 (ds),(JT)(94),12,52.59965,51.726284,1.746732,1311667462104,44293380876,2535785239680,5302,5302
5303,AcTc5d3d,AT53 (ds),(AT)(53),12,52.598984,51.762769,1.672429,1312592663868,42409195716,2535785239680,5303,5303
5304,7d7c3d3c,7733 (ds),(73)(73),6,52.597266,52.484542,0.225448,665447638812,2858440164,1267892619840,5304,5304
5305,KcQdJh6d,KQJ6 (ss),K(Q6)J,24,52.595077,51.618525,1.953104,2617869893352,99053055792,5071570479360,5305,5305
5306,KcQc5d4h,KQ54 (ss),(KQ)54,24,52.594431,51.528992,2.130877,2613329137320,108068952552,5071570479360,5306,5306
5307,AcJcTc3c,AJT3 (m),(AJT3),4,52.593965,51.544464,2.099001,435685637836,17742051516,845261746560,5307,5307
5308,Kc8c7d5d,K875 (ds),(K8)(75),12,52.593396,51.788593,1.609607,1313247487632,40816168212,2535785239680,5308,5308
5309,Qc9d6h6c,Q966 (ss),(Q6)96,24,52.592628,52.109642,0.965971,2642777223000,48989922144,5071570479360,5309,5309
5310,QcTc9d6h,QT96 (ss),(QT)96,24,52.591858,51.588165,2.007384,2616330166944,101805907344,5071570479360,5310,5310
5311,QcJdTh7d,QJT7 (ss),Q(J7)T,24,52.591154,51.572373,2.037563,2615529237864,103336426680,5071570479360,5311,5311
5312,AcJc8c4d,AJ84 (3s),(AJ8)4,12,52.590884,51.57549,2.030788,1307843660220,51496420284,2535785239680,5312,5312
5313,Kc8d5d5c,K855 (ds),(K5)(85),12,52.589491,52.27619,0.626602,1325611898820,15889280976,2535785239680,5313,5313
5314,KcJdTc5h,KJT5 (ss),(KT)J5,24,52.589054,51.603501,1.971107,2617107921432,99966082008,5071570479360,5314,5314
5315,9c8d5d5c,9855 (ds),(95)(85),12,52.587862,52.143539,0.888647,1322248159764,22534176456,2535785239680,5315,5315
5316,QcTd9c6h,QT96 (ss),(Q9)T6,24,52.586138,51.580799,2.01068,2615956553520,101973035976,5071570479360,5316,5316
5317,Kc9h9d2c,K992 (ss),(K2)99,12,52.58564,52.351406,0.468467,1327519233216,11879306724,2535785239680,5317,5317
5318,TdTc7h5s,TT75 (r),TT75,12,52.585362,52.144169,0.882387,1322264131452,22375446576,2535785239680,5318,5318
5319,JcTd6d4c,JT64 (ds),(J4)(T6),12,52.584757,51.667674,1.834165,1310181256968,46510491876,2535785239680,5319,5319
5320,Ac8d7c6h,A876 (ss),(A7)86,24,52.581884,51.64494,1.873888,2619209517864,95035527696,5071570479360,5320,5320
5321,Ac8c7d6h,A876 (ss),(A8)76,24,52.581337,51.644611,1.873453,2619192839976,95013499584,5071570479360,5321,5321
5322,9c8d8c6c,9886 (3s),(986)8,12,52.574447,52.132967,0.88296,1321980079800,22389964020,2535785239680,5322,5322
5323,Ac8d7h6c,A876 (ss),(A6)87,24,52.574139,51.636738,1.874802,2618793571896,95081898984,5071570479360,5323,5323
5324,JcTd6c4d,JT64 (ds),(J6)(T4),12,52.573622,51.656567,1.834109,1309899606852,46509063504,2535785239680,5324,5324
5325,Tc8d8c5h,T885 (ss),(T8)85,24,52.573031,52.2118,0.722463,2647958210304,36640213848,5071570479360,5325,5325
5326,AcJc5h5d,AJ55 (ss),(AJ)55,12,52.572203,52.092664,0.959078,1320958078656,24320150076,2535785239680,5326,5326
5327,Ac8c7d3d,A873 (ds),(A8)(73),12,52.571304,51.763237,1.616135,1312604516616,40981722036,2535785239680,5327,5327
5328,KcQdTd6d,KQT6 (3s),K(QT6),12,52.570853,51.528704,2.084297,1306657273992,52853293464,2535785239680,5328,5328
5329,Tc9d8d6c,T986 (ds),(T6)(98),12,52.566819,51.704575,1.724487,1311116992836,43729294728,2535785239680,5329,5329
5330,KcJd7h5c,KJ75 (ss),(K5)J7,24,52.566655,51.527753,2.077806,2613266291136,105377377128,5071570479360,5330,5330
5331,Tc9d8c6d,T986 (ds),(T8)(96),12,52.566466,51.704224,1.724485,1311108076200,43729226136,2535785239680,5331,5331
5332,Ac6d6c3d,A663 (ds),(A6)(63),12,52.565345,52.354612,0.421465,1327600533108,10687456068,2535785239680,5332,5332
5333,AcJdTh7s,AJT7 (r),AJT7,24,52.565321,51.451449,2.227743,2609396510112,112981546272,5071570479360,5333,5333
5334,AcTd7h4d,AT74 (ss),A(T4)7,24,52.562608,51.53144,2.062337,2613453298248,104592873744,5071570479360,5334,5334
5335,JcTd9h8h,JT98 (ss),JT(98),24,52.559273,51.509842,2.098862,2612357957016,106445277312,5071570479360,5335,5335
5336,KcQd9c6c,KQ96 (3s),(K96)Q,12,52.55755,51.522938,2.069224,1306511047044,52471077876,2535785239680,5336,5336
5337,KcQd8d7d,KQ87 (3s),K(Q87),12,52.556373,51.499337,2.114071,1305912597528,53608296120,2535785239680,5337,5337
5338,KcTc6d3d,KT63 (ds),(KT)(63),12,52.554601,51.707304,1.694593,1311186182088,42971249784,2535785239680,5338,5338
5339,KcQc9d2d,KQ92 (ds),(KQ)(92),12,52.552367,51.741798,1.621138,1312060868244,41108573592,2535785239680,5339,5339
5340,9d9c7c3h,9973 (ss),(97)93,24,52.552237,52.186325,0.731824,2646666238824,37114976328,5071570479360,5340,5340
5341,TdTc8h4s,TT84 (r),TT84,12,52.551122,52.140699,0.820848,1322176137036,20814932640,2535785239680,5341,5341
5342,AcTd9h8s,AT98 (r),AT98,24,52.550604,51.419455,2.262297,2607773919120,114733961880,5071570479360,5342,5342
5343,JcTd6h6d,JT66 (ss),J(T6)6,24,52.548898,51.989368,1.119059,2636677464336,56753854464,5071570479360,5343,5343
5344,AcQcTc4c,AQT4 (m),(AQT4),4,52.548444,51.514773,2.067342,435434669844,17474453940,845261746560,5344,5344
5345,AcTd9d4h,AT94 (ss),A(T9)4,24,52.546006,51.557557,1.976899,2614777835376,100259821656,5071570479360,5345,5345
5346,AcJd8h4h,AJ84 (ss),AJ(84),24,52.545252,51.532734,2.025036,2613518936376,102701114976,5071570479360,5346,5346
5347,QcTc6d6c,QT66 (3s),(QT6)6,12,52.544912,51.988658,1.112508,1318320719844,28210819104,2535785239680,5347,5347
5348,QcTd9d7h,QT97 (ss),Q(T9)7,24,52.543353,51.522544,2.041619,2613002117256,103542129744,5071570479360,5348,5348
5349,AcTc9d5c,AT95 (3s),(AT5)9,12,52.537468,51.53911,1.996716,1306921144440,50632420236,2535785239680,5349,5349
5350,KcTc6d6c,KT66 (3s),(KT6)6,12,52.535626,52.027779,1.015693,1319312738976,25755799728,2535785239680,5350,5350
5351,JcTd8d7h,JT87 (ss),J(T8)7,24,52.533512,51.472882,2.121261,2610483469080,107581249872,5071570479360,5351,5351
5352,QcJc7d4d,QJ74 (ds),(QJ)(74),12,52.533401,51.669211,1.72838,1310220225264,43828010700,2535785239680,5352,5352
5353,AcKd5h3d,AK53 (ss),A(K3)5,24,52.532961,51.488791,2.08834,2611290324072,105911641344,5071570479360,5353,5353
5354,Qc9d7d5c,Q975 (ds),(Q5)(97),12,52.531534,51.699068,1.664933,1310977326516,42219131940,2535785239680,5354,5354
5355,Qc7d7c4d,Q774 (ds),(Q7)(74),12,52.531091,52.307185,0.447813,1326397871676,11355564624,2535785239680,5355,5355
5356,AcKd5d3h,AK53 (ss),A(K5)3,24,52.530876,51.486656,2.088441,2611182045000,105916748136,5071570479360,5356,5356
5357,AcKd7h4h,AK74 (ss),AK(74),24,52.530077,51.50072,2.058713,2611895331864,104409103200,5071570479360,5357,5357
5358,Jc9c7d5d,J975 (ds),(J9)(75),12,52.530053,51.672911,1.714283,1310314054620,43470533820,2535785239680,5358,5358
5359,AcTd9c5c,AT95 (3s),(A95)T,12,52.529709,51.52947,2.000478,1306676681820,50727837984,2535785239680,5359,5359
5360,Ac9d8d7d,A987 (3s),A(987),12,52.529551,51.537318,1.984465,1306875710772,50321761908,2535785239680,5360,5360
5361,9d9c7h3c,9973 (ss),(93)97,24,52.528264,52.161612,0.733304,2645412915000,37190050536,5071570479360,5361,5361
5362,KcJd4c3d,KJ43 (ds),(K4)(J3),12,52.525977,51.655501,1.740952,1309872566460,44146803480,2535785239680,5362,5362
5363,KcJd4d3c,KJ43 (ds),(K3)(J4),12,52.525614,51.655138,1.740952,1309863354252,44146803480,2535785239680,5363,5363
5364,AcQd6h5h,AQ65 (ss),AQ(65),24,52.523616,51.468742,2.10975,2610273502104,106997438376,5071570479360,5364,5364
5365,AcKdTd3d,AKT3 (3s),A(KT3),12,52.521924,51.509484,2.024881,1306169880060,51346641108,2535785239680,5365,5365
5366,AcJc8d4c,AJ84 (3s),(AJ4)8,12,52.520892,51.506233,2.029318,1306087442004,51459148692,2535785239680,5366,5366
5367,Ac9d9c2c,A992 (3s),(A92)9,12,52.520784,52.269935,0.501698,1325453289336,12721996320,2535785239680,5367,5367
5368,Ac9d8d5h,A985 (ss),A(98)5,24,52.517772,51.540919,1.953706,2613934055448,99083564736,5071570479360,5368,5368
5369,AcQd6c5c,AQ65 (3s),(A65)Q,12,52.517753,51.45826,2.118985,1304870967180,53732920116,2535785239680,5369,5369
5370,AcTc8c6c,AT86 (m),(AT86),4,52.514967,51.470613,2.088709,435061399332,17655058920,845261746560,5370,5370
5371,TdTc4c3c,TT43 (3s),(T43)T,12,52.51275,52.137149,0.751202,1322086133856,19048873248,2535785239680,5371,5371
5372,Ac8d4d4c,A844 (ds),(A4)(84),12,52.510643,52.185474,0.650338,1323311549316,16491166044,2535785239680,5372,5372
5373,KcQcJc8c,KQJ8 (m),(KQJ8),4,52.50972,51.489697,2.040046,435222711444,17243727456,845261746560,5373,5373
5374,Jc9d8d5c,J985 (ds),(J5)(98),12,52.509585,51.673447,1.672275,1310327638632,42405309576,2535785239680,5374,5374
5375,Qc9d7c5d,Q975 (ds),(Q7)(95),12,52.509128,51.676689,1.664878,1310409855012,42217726332,2535785239680,5375,5375
5376,Tc7d7c3d,T773 (ds),(T7)(73),12,52.507,52.242532,0.528935,1324758410952,13412667768,2535785239680,5376,5376
5377,Kc9h9d6s,K996 (r),K996,12,52.506489,52.142188,0.728602,1322213902368,18475785612,2535785239680,5377,5377
5378,9c8c7h7d,9877 (ss),(98)77,12,52.504843,51.989202,1.031282,1318334518536,26151091488,2535785239680,5378,5378
5379,AcQcTd2c,AQT2 (3s),(AQ2)T,12,52.503135,51.484047,2.038174,1305524876232,51683727948,2535785239680,5379,5379
5380,QcJc5d3d,QJ53 (ds),(QJ)(53),12,52.502567,51.598718,1.807699,1308432666936,45839353848,2535785239680,5380,5380
5381,Kc9c8d7h,K987 (ss),(K9)87,24,52.499574,51.544148,1.910851,2614097804640,96910172664,5071570479360,5381,5381
5382,AcKd7c4c,AK74 (3s),(A74)K,12,52.498952,51.464714,2.068476,1305034630692,52452114804,2535785239680,5382,5382
5383,AcQc4d2d,AQ42 (ds),(AQ)(42),12,52.497971,51.648943,1.698057,1309706265000,43059075528,2535785239680,5383,5383
5384,Jc9d8c5d,J985 (ds),(J8)(95),12,52.497632,51.6615,1.672265,1310024684664,42405057072,2535785239680,5384,5384
5385,Tc9c8d6d,T986 (ds),(T9)(86),12,52.497424,51.635184,1.724482,1309357361892,43729158300,2535785239680,5385,5385
5386,AcTc6d6c,AT66 (3s),(AT6)6,12,52.496518,52.041516,0.910004,1319661076884,23075753580,2535785239680,5386,5386
5387,KcQd7c5h,KQ75 (ss),(K7)Q5,24,52.493835,51.472272,2.043128,2610452527752,103618665384,5071570479360,5387,5387
5388,KcTc9c6d,KT96 (3s),(KT9)6,12,52.493823,51.491417,2.004813,1305711754908,50837740320,2535785239680,5388,5388
5389,AcKc4d3h,AK43 (ss),(AK)43,24,52.493635,51.454706,2.077858,2609561667216,105380036400,5071570479360,5389,5389
5390,Qc8d7d6c,Q876 (ds),(Q6)(87),12,52.493451,51.677419,1.632065,1310428356084,41385659532,2535785239680,5390,5390
5391,Ac8h8d4d,A884 (ss),A(84)8,24,52.493316,52.209719,0.567194,2647852679664,28765658952,5071570479360,5391,5391
5392,Qc9d9c3c,Q993 (3s),(Q93)9,12,52.493292,52.214305,0.557973,1324042644396,14149008984,2535785239680,5392,5392
5393,AcKdJd2d,AKJ2 (3s),A(KJ2),12,52.493003,51.479917,2.026172,1305420131988,51379361196,2535785239680,5393,5393
5394,KcQcJc7d,KQJ7 (3s),(KQJ)7,12,52.492797,51.50286,1.979874,1306001913216,50205362544,2535785239680,5394,5394
5395,AcJd8d6d,AJ86 (3s),A(J86),12,52.489631,51.455392,2.068478,1304798228592,52452166920,2535785239680,5395,5395
5396,Kc9d8c7h,K987 (ss),(K8)97,24,52.489056,51.532895,1.912323,2613527069088,96984833880,5071570479360,5396,5396
5397,JcTd8h7d,JT87 (ss),J(T7)8,24,52.488714,51.428239,2.120951,2608219369440,107565500496,5071570479360,5397,5397
5398,AcJd7d4h,AJ74 (ss),A(J7)4,24,52.487708,51.484698,2.00602,2611082764512,101736723648,5071570479360,5398,5398
5399,Kc9d8h7c,K987 (ss),(K7)98,24,52.486853,51.530217,1.913271,2613391284696,97032889680,5071570479360,5399,5399
5400,AcQd7c4h,AQ74 (ss),(A7)Q4,24,52.486244,51.510649,1.951191,2612398857048,98956044552,5071570479360,5400,5400
5401,QcJd8h7h,QJ87 (ss),QJ(87),24,52.4857,51.443959,2.083483,2609016623472,105665296872,5071570479360,5401,5401
5402,Qc8d7c6d,Q876 (ds),(Q7)(86),12,52.481251,51.665252,1.631998,1310119839888,41383952268,2535785239680,5402,5402
5403,9d9c8c2h,9982 (ss),(98)92,24,52.480965,52.130648,0.700634,2643842539992,35533161120,5071570479360,5403,5403
5404,AcQd7d2c,AQ72 (ds),(A2)(Q7),12,52.478076,51.697382,1.561388,1310934587220,39593440980,2535785239680,5404,5404
5405,AcJc7d2d,AJ72 (ds),(AJ)(72),12,52.477889,51.679745,1.596289,1310487335364,40478466540,2535785239680,5405,5405
5406,AcQd7c2d,AQ72 (ds),(A7)(Q2),12,52.476301,51.695636,1.561331,1310890303104,39591991080,2535785239680,5406,5406
5407,KcQdJd5h,KQJ5 (ss),K(QJ)5,24,52.475735,51.504394,1.942682,2612081650944,98524507728,5071570479360,5407,5407
5408,QcTd9h7d,QT97 (ss),Q(T7)9,24,52.47394,51.452814,2.042251,2609465741160,103574181096,5071570479360,5408,5408
5409,QcTd8d6h,QT86 (ss),Q(T8)6,24,52.472983,51.442407,2.061151,2608937941200,104532712824,5071570479360,5409,5409
5410,9d9c3h3c,9933 (ss),(93)93,24,52.464831,52.359952,0.209758,2655471874008,10638011904,5071570479360,5410,5410
5411,KcJd6h6d,KJ66 (ss),K(J6)6,24,52.461751,51.986704,0.950095,2636542321152,48184754424,5071570479360,5411,5411
5412,TdTc9h2s,TT92 (r),TT92,12,52.459804,52.067132,0.785345,1320310638456,19914673272,2535785239680,5412,5412
5413,KcJdTh6d,KJT6 (ss),K(J6)T,24,52.45645,51.463008,1.986884,2609982708000,100766229384,5071570479360,5413,5413
5414,Ac9d6h6c,A966 (ss),(A6)96,24,52.456384,52.075297,0.762174,2641035409152,38654200512,5071570479360,5414,5414
5415,QcTd9h6c,QT96 (ss),(Q6)T9,24,52.456005,51.451376,2.009258,2609392798032,101900945784,5071570479360,5415,5415
5416,Qc8h8d5d,Q885 (ss),Q(85)8,24,52.455765,52.143046,0.625439,2644471311264,31719556560,5071570479360,5416,5416
5417,AcQc7c6c,AQ76 (m),(AQ76),4,52.455387,51.382177,2.146421,434313883524,18142871964,845261746560,5417,5417
5418,9d9c5c4h,9954 (ss),(95)94,24,52.455315,52.038334,0.833962,2639160768216,42294956520,5071570479360,5418,5418
5419,KcQd7h5c,KQ75 (ss),(K5)Q7,24,52.455138,51.433963,2.042351,2608509665352,103579253640,5071570479360,5419,5419
5420,Ac7d7c5c,A775 (3s),(A75)7,12,52.455091,52.085702,0.738778,1320781545444,18733824384,2535785239680,5420,5420
5421,9d9c8h2c,9982 (ss),(92)98,24,52.454188,52.102827,0.702721,2642431601256,35639015880,5071570479360,5421,5421
5422,QcJdTh7h,QJT7 (ss),QJ(T7),24,52.453535,51.433384,2.040303,2608480308072,103475408664,5071570479360,5422,5422
5423,Kc9h9d2d,K992 (ss),K(92)9,24,52.453484,52.22693,0.453109,2648725548960,22979754936,5071570479360,5423,5423
5424,9d9c5h4c,9954 (ss),(94)95,24,52.451704,52.034517,0.834375,2638967197224,42315910584,5071570479360,5424,5424
5425,Kc8d8c5h,K885 (ss),(K8)85,24,52.449106,52.184084,0.530044,2646552615336,26881556472,5071570479360,5425,5425
5426,9d9c6s6h,9966 (r),9966,6,52.449058,52.259049,0.380017,662588631084,4818205272,1267892619840,5426,5426
5427,Qc8h8d5c,Q885 (ss),(Q5)88,12,52.448293,52.128555,0.639477,1321868202948,16215752616,2535785239680,5427,5427
5428,AcJd8c4c,AJ84 (3s),(A84)J,12,52.448179,51.431649,2.033059,1304196171744,51554019384,2535785239680,5428,5428
5429,KcJd3d3c,KJ33 (ds),(K3)(J3),12,52.446537,52.020714,0.851646,1319133595476,21595921536,2535785239680,5429,5429
5430,Kc9d9c4c,K994 (3s),(K94)9,12,52.445847,52.212149,0.467395,1323987970560,11852136228,2535785239680,5430,5430
5431,Jc8c7d7c,J877 (3s),(J87)7,12,52.445542,51.966173,0.958736,1317750554292,24311494392,2535785239680,5431,5431
5432,AcQd7h4c,AQ74 (ss),(A4)Q7,24,52.445387,51.470348,1.950078,2610354976608,98899561896,5071570479360,5432,5432
5433,Ac7d7c4h,A774 (ss),(A7)74,24,52.442953,52.129012,0.627882,2643759598992,31843470888,5071570479360,5433,5433
5434,AcQdTc2c,AQT2 (3s),(AT2)Q,12,52.442821,51.421685,2.042272,1303943489520,51787639500,2535785239680,5434,5434
5435,JcTd9d3c,JT93 (ds),(J3)(T9),12,52.442495,51.575755,1.73348,1307850389220,43957321692,2535785239680,5435,5435
5436,TdTc6h5s,TT65 (r),TT65,12,52.440175,51.974508,0.931336,1317961890576,23616675204,2535785239680,5436,5436
5437,KcJd9d6h,KJ96 (ss),K(J9)6,24,52.439826,51.448781,1.982089,2609261209176,100523038368,5071570479360,5437,5437
5438,KcQd9d6d,KQ96 (3s),K(Q96),12,52.437043,51.401733,2.070619,1303437554328,52506461424,2535785239680,5438,5438
5439,KcJc6h6d,KJ66 (ss),(KJ)66,12,52.436321,51.953506,0.965628,1317429343464,24486264348,2535785239680,5439,5439
5440,AcJd7h4d,AJ74 (ss),A(J4)7,24,52.435352,51.433001,2.004702,2608460886936,101669861112,5071570479360,5440,5440
5441,KcTd8d6h,KT86 (ss),K(T8)6,24,52.434586,51.424156,2.02086,2608012334688,102489343608,5071570479360,5441,5441
5442,Qc8c7d6d,Q876 (ds),(Q8)(76),12,52.434442,51.618375,1.632133,1308931142100,41387387748,2535785239680,5442,5442
5443,JcTd9c3d,JT93 (ds),(J9)(T3),12,52.432139,51.565416,1.733447,1307588201664,43956486564,2535785239680,5443,5443
5444,Ac9d8h5d,A985 (ss),A(95)8,24,52.431903,51.455029,1.953748,2609578059720,99085703544,5071570479360,5444,5444
5445,TdTc4h2c,TT42 (ss),(T2)T4,24,52.431179,52.132767,0.596825,2643950002920,30268413384,5071570479360,5445,5445
5446,Jc9c8d5d,J985 (ds),(J9)(85),12,52.428948,51.592796,1.672303,1308282506988,42406013508,2535785239680,5446,5446
5447,AcTd4c3d,AT43 (ds),(A4)(T3),12,52.428896,51.594722,1.668348,1308331349196,42305716980,2535785239680,5447,5447
5448,AcTd4d3c,AT43 (ds),(A3)(T4),12,52.427964,51.59379,1.668348,1308307718376,42305715648,2535785239680,5448,5448
5449,AcJc7c5c,AJ75 (m),(AJ75),4,52.424771,51.341786,2.165969,433972478964,18308106372,845261746560,5449,5449
5450,KcJc8d6h,KJ86 (ss),(KJ)86,24,52.423059,51.426188,1.993741,2608115375904,101114000808,5071570479360,5450,5450
5451,KcQdJh5c,KQJ5 (ss),(K5)QJ,24,52.423041,51.453998,1.938085,2609525775336,98291347056,5071570479360,5451,5451
5452,QcJd4c3d,QJ43 (ds),(Q4)(J3),12,52.421359,51.521325,1.800067,1306470159552,45645841320,2535785239680,5452,5452
5453,Tc8d8c4h,T884 (ss),(T8)84,24,52.42119,52.066674,0.709032,2640598049160,35959082616,5071570479360,5453,5453
5454,QcJd4d3c,QJ43 (ds),(Q3)(J4),12,52.421167,51.521134,1.800067,1306465304064,45645841320,2535785239680,5454,5454
5455,QcJc9d3d,QJ93 (ds),(QJ)(93),12,52.420407,51.583355,1.674105,1308043096572,42451700700,2535785239680,5455,5455
5456,KcTd7d6d,KT76 (3s),K(T76),12,52.417737,51.341565,2.152345,1301911815696,54578850636,2535785239680,5456,5456
5457,KcQdJh6h,KQJ6 (ss),KQ(J6),24,52.416861,51.437876,1.957969,2608708136208,99299786160,5071570479360,5457,5457
