rank,hand,label,notation,combos,equity_pct,win_pct,tie_pct,win_count,tie_count,denominator,rank_low,rank_high
48,KdKcJdJc,KKJJ (ds),(KJ)(KJ),6,68.56739,68.373841,0.387099,866906879544,4908003696,1267892619840,48,48
49,AdAcJc4d,AAJ4 (ds),(AJ)(A4),12,68.556719,68.267925,0.577588,1731127960152,14646387864,2535785239680,49,49
50,AdAcKc4d,AAK4 (ds),(AK)(A4),12,68.509496,68.22022,0.578551,1729918272924,14670808212,2535785239680,50,50
51,AdAcQc4d,AAQ4 (ds),(AQ)(A4),12,68.506933,68.21794,0.577987,1729860443016,14656514844,2535785239680,51,51
52,AdAc5c3d,AA53 (ds),(A5)(A3),12,68.450313,68.076565,0.747496,1726275481536,18954903108,2535785239680,52,52
53,AdAcJhJc,AAJJ (ss),(AJ)AJ,24,68.442415,68.254088,0.376655,3461554166352,19102315944,5071570479360,53,53
54,AdAcTc3d,AAT3 (ds),(AT)(A3),12,68.414636,68.127295,0.574682,1727561896800,14572700160,2535785239680,54,54
55,AdAc8c4d,AA84 (ds),(A8)(A4),12,68.399954,68.109427,0.581055,1727108798904,14734298400,2535785239680,55,55
56,KdKcQdQc,KKQQ (ds),(KQ)(KQ),6,68.393284,68.20029,0.385986,864706449804,4893891900,1267892619840,56,56
57,AdAcJc3d,AAJ3 (ds),(AJ)(A3),12,68.311384,68.023897,0.574974,1724939944680,14580113460,2535785239680,57,57
58,AdAcKc3d,AAK3 (ds),(AK)(A3),12,68.265168,67.9772,0.575937,1723755791676,14604533808,2535785239680,58,58
59,AdAcQc3d,AAQ3 (ds),(AQ)(A3),12,68.262182,67.974496,0.575374,1723687225488,14590240440,2535785239680,59,59
60,AdAcJc6d,AAJ6 (ds),(AJ)(A6),12,68.237678,67.98816,0.499038,1724033714820,12654524436,2535785239680,60,60
61,AdAcKc8d,AAK8 (ds),(AK)(A8),12,68.179901,67.926369,0.507063,1722466845180,12858028512,2535785239680,61,61
62,AdAcKc9d,AAK9 (ds),(AK)(A9),12,68.178126,67.923723,0.508806,1722399744924,12902222076,2535785239680,62,62
63,AdAcKc6d,AAK6 (ds),(AK)(A6),12,68.172211,67.92246,0.499503,1722367709544,12666317208,2535785239680,63,63
64,AdAcQc6d,AAQ6 (ds),(AQ)(A6),12,68.171279,67.92181,0.498939,1722351225132,12652023840,2535785239680,64,64
65,AdAcQc7d,AAQ7 (ds),(AQ)(A7),12,68.170633,67.919072,0.503122,1722281814000,12758095068,2535785239680,65,65
66,AdAc4c3d,AA43 (ds),(A4)(A3),12,68.164254,67.789435,0.749637,1718994484740,19009189068,2535785239680,66,66
67,AdAcKc7d,AAK7 (ds),(AK)(A7),12,68.161945,67.910347,0.503196,1722060551628,12759971244,2535785239680,67,67
68,AdAcTc2d,AAT2 (ds),(AT)(A2),12,68.134301,67.847546,0.57351,1720468048380,14542978464,2535785239680,68,68
69,AdAcQhQc,AAQQ (ss),(AQ)AQ,24,68.123811,67.936227,0.375169,3445433637216,19026949224,5071570479360,69,69
70,KdKc9d9c,KK99 (ds),(K9)(K9),6,68.050402,67.897411,0.305981,860866266888,3879511620,1267892619840,70,70
71,AdAc5h5c,AA55 (ss),(A5)A5,24,68.05036,67.874327,0.352066,3442294344864,17855279328,5071570479360,71,71
72,AdAcJc2d,AAJ2 (ds),(AJ)(A2),12,68.031632,67.744731,0.573802,1717860894204,14550391764,2535785239680,72,72
73,AcKdKcTd,AKKT (ds),(AK)(KT),12,68.004156,67.632459,0.743394,1715013903888,18850878048,2535785239680,73,73
74,AdAc7c3d,AA73 (ds),(A7)(A3),12,67.993567,67.706589,0.573956,1716893680116,14554290360,2535785239680,74,74
75,AdAcKc2d,AAK2 (ds),(AK)(A2),12,67.986229,67.698846,0.574765,1716697353000,14574812112,2535785239680,75,75
76,AdAcQc2d,AAQ2 (ds),(AQ)(A2),12,67.982854,67.695753,0.574202,1716618911292,14560518744,2535785239680,76,76
77,AdAcJcTh,AAJT (ss),(AJ)AT,24,67.981068,67.480808,1.00052,3422336757600,50742068928,5071570479360,77,77
78,AdAcJhTc,AAJT (ss),(AT)AJ,24,67.965571,67.465328,1.000488,3421551634944,50740431720,5071570479360,78,78
79,AdAc6c3d,AA63 (ds),(A6)(A3),12,67.953825,67.64244,0.622769,1715267020068,15792084324,2535785239680,79,79
80,AdAc9h9c,AA99 (ss),(A9)A9,24,67.949128,67.805485,0.287286,3438802960752,14569897848,5071570479360,80,80
81,AcKdKcJd,AKKJ (ds),(AK)(KJ),12,67.915754,67.542194,0.747121,1712724973632,18945385548,2535785239680,81,81
82,AcKdKcQd,AKKQ (ds),(AK)(KQ),12,67.907405,67.531818,0.751174,1712461867092,19048147692,2535785239680,82,82
83,AdAcKhKc,AAKK (ss),(AK)AK,24,67.861961,67.675032,0.373858,3432186925920,18960488568,5071570479360,83,83
84,AdAcTc9h,AAT9 (ss),(AT)A9,24,67.782035,67.288611,0.986848,3412589330328,50048668248,5071570479360,84,84
85,AdAcTh9c,AAT9 (ss),(A9)AT,24,67.772787,67.279095,0.987383,3412106728392,50075838936,5071570479360,85,85
86,AdAc9c4d,AA94 (ds),(A9)(A4),12,67.748527,67.520585,0.455884,1712177032548,11560228980,2535785239680,86,86
87,AdAc8h8c,AA88 (ss),(A8)A8,24,67.737914,67.593915,0.287999,3428073014424,14606078376,5071570479360,87,87
88,AcKdKc5d,AKK5 (ds),(AK)(K5),12,67.705545,67.336566,0.737958,1707510704676,18713029392,2535785239680,88,88
89,AdAc5c2d,AA52 (ds),(A5)(A2),12,67.690601,67.382147,0.616908,1708666541700,15643451784,2535785239680,89,89
90,KdKcTc9d,KKT9 (ds),(KT)(K9),12,67.677079,67.209149,0.93586,1704279676224,23731391508,2535785239680,90,90
91,AdAc7h7c,AA77 (ss),(A7)A7,24,67.624025,67.479966,0.288118,3422294053272,14612096616,5071570479360,91,91
92,AdAc6h6c,AA66 (ss),(A6)A6,24,67.60567,67.46185,0.287642,3421375247712,14587952568,5071570479360,92,92
