rank,hand,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AA,6,63.82803,0.00146,4011530172,1,1
2,KK,6,58.24174,0.00191,4011635820,2,2
3,QQ,6,53.5121,0.00104,4011514925,3,3
4,JJ,6,49.17571,0.00174,4011541296,4,4
5,TT,6,45.20176,0.00174,4011626711,5,5
6,AKs,4,41.42908,0.00138,2674405256,6,6
7,99,6,41.14207,0.00117,4011592168,7,7
8,AQs,4,39.8517,0.00118,2674350368,8,8
9,AKo,12,38.53987,0.00141,8023175121,9,9
10,AJs,4,38.45377,0.00132,2674369762,10,10
11,KQs,4,38.19595,0.00117,2674384981,11,11
12,88,6,37.591,0.00135,4011616277,12,12
13,ATs,4,37.21859,0.00109,2674395188,13,13
14,AQo,12,36.83402,0.00121,8023010207,14,14
15,KJs,4,36.82266,0.00093,2674415877,15,15
16,QJs,4,35.66448,0.00084,2674355994,16,16
17,KTs,4,35.63348,0.00119,2674430819,17,17
18,AJo,12,35.31986,0.00124,8023072866,18,18
19,KQo,12,35.17197,0.0013,8023161963,19,19
20,QTs,4,34.51193,0.00116,2674383395,20,21
21,A9s,4,34.50853,0.00135,2674385471,20,21
22,77,6,34.38041,0.00097,4011549574,22,22
23,ATo,12,33.9787,0.00112,8023158219,23,23
24,JTs,4,33.85695,0.00111,2674385384,24,24
25,KJo,12,33.68354,0.00092,8023180281,25,25
26,A8s,4,33.47185,0.00108,2674394127,26,26
27,K9s,4,32.94409,0.00113,2674409874,27,27
28,QJo,12,32.55143,0.00078,8023036702,28,28
29,A7s,4,32.40435,0.00106,2674360662,29,29
30,KTo,12,32.39132,0.0012,8023275295,30,30
31,Q9s,4,31.85305,0.00115,2674370975,31,31
32,A5s,4,31.73954,0.00114,2674357830,32,32
33,66,6,31.51604,0.00074,4011487466,33,33
34,QTo,12,31.29886,0.00123,8023121001,34,34
35,A6s,4,31.28639,0.00129,2674314965,35,35
36,J9s,4,31.21646,0.00088,2674374898,36,36
37,A9o,12,31.04732,0.00138,8023153360,37,37
38,A4s,4,30.9669,0.00108,2674361661,38,38
39,T9s,4,30.95518,0.00128,2674394497,39,39
40,K8s,4,30.77961,0.0011,2674411148,40,40
41,JTo,12,30.69123,0.00111,8023182200,41,41
42,A3s,4,30.23116,0.00126,2674385302,42,42
43,K7s,4,29.93091,0.00123,2674404720,43,43
44,A8o,12,29.91622,0.00096,8023142560,44,44
45,Q8s,4,29.71291,0.00098,2674368493,45,45
46,K9o,12,29.48184,0.00105,8023272211,46,46
47,A2s,4,29.43445,0.00105,2674378051,47,47
48,J8s,4,29.11046,0.00089,2674382784,48,48
49,K6s,4,29.03508,0.0012,2674375376,49,49
50,55,6,28.8798,0.00132,4011555576,50,50
51,T8s,4,28.87182,0.0013,2674425518,51,51
52,A7o,12,28.75135,0.00111,8023086543,52,52
53,98s,4,28.46181,0.00094,2674405156,53,53
54,Q9o,12,28.42063,0.00122,8023073504,54,54
55,K5s,4,28.25926,0.00094,2674397670,55,55
56,A5o,12,28.00598,0.00108,8023113573,56,56
57,J9o,12,27.83384,0.00097,8023166878,57,57
58,Q7s,4,27.70296,0.00115,2674365861,58,58
59,T9o,12,27.63423,0.00119,8023203493,59,59
60,K4s,4,27.53516,0.00102,2674400803,60,61
61,A6o,12,27.53374,0.00126,8023043476,60,61
62,A4o,12,27.14831,0.00092,8023057229,62,62
63,K8o,12,27.1415,0.00118,8023273025,63,63
64,J7s,4,27.10584,0.00099,2674379781,64,64
65,Q6s,4,27.00508,0.0013,2674311277,65,65
66,T7s,4,26.88793,0.00116,2674403378,66,66
67,K3s,4,26.86303,0.00113,2674421083,67,67
68,97s,4,26.65227,0.00086,2674386735,68,68
69,87s,4,26.63095,0.00103,2674404071,69,69
70,A3o,12,26.33328,0.00132,8023131741,70,70
71,44,6,26.28876,0.00126,4011528424,71,71
72,Q5s,4,26.25503,0.00105,2674345928,72,72
73,K7o,12,26.21171,0.00123,8023208508,73,73
74,K2s,4,26.20363,0.00113,2674421099,74,74
75,Q8o,12,26.10674,0.00104,8023121226,75,75
76,Q4s,4,25.55658,0.00088,2674337823,76,77
77,J8o,12,25.55479,0.00086,8023150920,76,77
78,A2o,12,25.45329,0.00099,8023156598,78,78
79,T8o,12,25.37962,0.00136,8023266283,79,79
80,K6o,12,25.23246,0.00114,8023141335,80,81
81,J6s,4,25.23154,0.00094,2674337166,80,81
82,76s,4,25.06691,0.00084,2674341684,82,82
83,T6s,4,25.00431,0.00087,2674368986,83,83
84,98o,12,24.99361,0.00104,8023249391,84,84
85,86s,4,24.92701,0.00101,2674377562,85,85
86,Q3s,4,24.90121,0.00095,2674366512,86,86
87,96s,4,24.81831,0.00108,2674357086,87,87
88,J5s,4,24.65801,0.00099,2674357662,88,88
89,K5o,12,24.38406,0.00095,8023190192,89,89
90,Q2s,4,24.25674,0.00104,2674347888,90,90
91,J4s,4,23.98246,0.00097,2674353626,91,91
92,33,6,23.97037,0.00129,4011629847,92,92
93,Q7o,12,23.93327,0.00107,8023082722,93,93
94,65s,4,23.70297,0.00094,2674340474,94,94
95,K4o,12,23.57918,0.00104,8023161214,95,95
96,75s,4,23.44951,0.00083,2674381632,96,96
97,J7o,12,23.38714,0.00091,8023112426,97,97
98,J3s,4,23.33983,0.0009,2674407899,98,98
99,T5s,4,23.24567,0.00106,2674396062,99,99
100,T7o,12,23.23417,0.00114,8023179716,100,100
101,85s,4,23.18398,0.00069,2674391024,101,101
102,Q6o,12,23.16686,0.00132,8023006447,102,102
103,87o,12,23.0607,0.00099,8023209023,103,103
104,95s,4,23.03996,0.00099,2674386293,104,104
105,97o,12,23.03625,0.00098,8023143552,105,105
106,K3o,12,22.83235,0.00122,8023265600,106,106
107,T4s,4,22.7374,0.00091,2674392331,107,107
108,J2s,4,22.70966,0.00114,2674368646,108,108
109,54s,4,22.69378,0.00082,2674349428,109,109
110,Q5o,12,22.34543,0.00092,8023075877,110,110
111,64s,4,22.14108,0.00079,2674341378,111,111
112,T3s,4,22.10922,0.0009,2674435998,112,112
113,K2o,12,22.10083,0.00119,8023243709,113,113
114,22,6,21.92613,0.00101,4011567875,114,114
115,74s,4,21.75826,0.00097,2674357315,115,115
116,Q4o,12,21.56784,0.00089,8023028263,116,116
117,T2s,4,21.491,0.00102,2674396214,117,117
118,84s,4,21.46407,0.00073,2674376956,118,118
119,76o,12,21.4034,0.00086,8023033291,119,119
120,J6o,12,21.36151,0.00092,8023029438,120,120
