rank,hand,label,notation,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AdAcJdJcTh,AAJJT (ds),(AJ)(AJ)T,12,35.62613,0.01393,15496807,1,1
2,AdAcJhTdTc,AAJTT (ds),(AT)(AT)J,12,35.56836,0.01393,15493588,2,2
3,AdAcJhJcTd,AAJJT (ds),(AJ)(AT)J,24,35.43732,0.01099,30988878,3,3
4,AdAcJcThTd,AAJTT (ds),(AJ)(AT)T,24,35.32749,0.01651,30989246,4,4
5,AdAcQdQcTh,AAQQT (ds),(AQ)(AQ)T,12,35.18556,0.02303,15497325,5,6
6,AdAcQdQcJh,AAQQJ (ds),(AQ)(AQ)J,12,35.15,0.01252,15497577,5,6
7,AdAcQhJdJc,AAQJJ (ds),(AJ)(AJ)Q,12,35.01704,0.02012,15496428,7,8
8,AdAcQhQcTd,AAQQT (ds),(AQ)(AT)Q,24,35.00878,0.016,30995720,7,8
9,AdAcQhQcJd,AAQQJ (ds),(AQ)(AJ)Q,24,34.94629,0.01621,30994872,9,11
10,AdAcKdKcTh,AAKKT (ds),(AK)(AK)T,12,34.92109,0.01154,15505333,9,11
11,AdAcTdTc9h,AATT9 (ds),(AT)(AT)9,12,34.91528,0.01398,15498099,9,11
12,AdAcKdKcQh,AAKKQ (ds),(AK)(AK)Q,12,34.86844,0.01065,15504323,12,13
13,AdAcKdKcJh,AAKKJ (ds),(AK)(AK)J,12,34.82841,0.01896,15508386,12,14
14,AdAcQcJhJd,AAQJJ (ds),(AQ)(AJ)J,24,34.79034,0.01214,30993051,13,14
15,AdAcKhKcTd,AAKKT (ds),(AK)(AT)K,24,34.73545,0.00877,31013619,15,15
16,AdAcQhTdTc,AAQTT (ds),(AT)(AT)Q,12,34.68269,0.01363,15493879,16,18
17,AdAcThTc9d,AATT9 (ds),(AT)(A9)T,24,34.68083,0.01202,30992403,16,18
18,AdAcKhQdQc,AAKQQ (ds),(AQ)(AQ)K,12,34.67051,0.0141,15505543,16,18
19,AdAcKhKcQd,AAKKQ (ds),(AK)(AQ)K,24,34.62954,0.011,31017500,19,20
20,AdAcKhKcJd,AAKKJ (ds),(AK)(AJ)K,24,34.60791,0.01228,31016079,19,20
21,AdAcQhJcTd,AAQJT (ds),(AJ)(AT)Q,24,34.56066,0.01338,30986166,21,24
22,AdAcTdTc8h,AATT8 (ds),(AT)(AT)8,12,34.5451,0.01931,15500300,21,24
23,AdAcQcJhTd,AAQJT (ds),(AQ)(AT)J,24,34.54455,0.01076,30990865,21,24
24,AdAcQcJdTh,AAQJT (ds),(AQ)(AJ)T,24,34.53206,0.01422,30990778,21,24
25,AdAcKcQhQd,AAKQQ (ds),(AK)(AQ)Q,24,34.42696,0.01193,31006867,25,26
26,AdAcQcThTd,AAQTT (ds),(AQ)(AT)T,24,34.42289,0.01238,30992167,25,26
