rank,hand,label,notation,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
46268,AcQcJc8d4c,AQJ84 (4s),(AQJ4)8,12,12.08212,0.00669,20223033,46060,46462
46269,KcJc7c6d5d,KJ765 (3s2),(KJ7)(65),12,12.0821,0.00848,20229733,45992,46527
46270,AcJc8d5d4c,AJ854 (3s2),(AJ4)(85),12,12.08203,0.00579,20223379,46064,46432
46271,JdJcTh9s2s,JJT92 (ss),JJT(92),12,12.08196,0.01062,20221390,45932,46594
46272,AcQdTh9s3d,AQT93 (ss),A(Q3)T9,24,12.08189,0.00381,40450257,46131,46395
46273,JcTc9d8h2d,JT982 (ds),(JT)(92)8,24,12.08189,0.00524,40451617,46091,46427
46274,AcKd8d7h6d,AK876 (3s),A(K86)7,24,12.0817,0.00677,40447015,46060,46465
46275,KcJdTh7d5s,KJT75 (ss),K(J7)T5,24,12.08158,0.0054,40449816,46091,46431
46276,QcTd8d7d4c,QT874 (3s2),(Q4)(T87),12,12.08141,0.00984,20222821,45985,46578
46277,AcKdQd9d5h,AKQ95 (3s),A(KQ9)5,24,12.08133,0.0066,40446660,46064,46465
46278,QcTd8c7d4h,QT874 (ds),(Q8)(T7)4,24,12.0812,0.00471,40446868,46125,46427
46279,AcQd7h6s3c,AQ763 (ss),(A3)Q76,24,12.08119,0.006,40451766,46091,46453
46280,AdAcJh6s4s,AAJ64 (ss),AAJ(64),12,12.08108,0.0093,20218309,45985,46574
46281,AcQd5c4c2d,AQ542 (3s2),(A54)(Q2),12,12.08101,0.00625,20221637,46064,46464
46282,Ac7d7c5d5c,A7755 (3s2),(A75)(75),12,12.08101,0.00301,20212108,46179,46395
46283,Ac6c5d4d3h,A6543 (ds),(A6)(54)3,24,12.08089,0.00443,40451845,46131,46427
46284,KcTd7h6s6c,KT766 (ss),(K6)T76,24,12.08073,0.00667,40457727,46064,46495
46285,Ac9c7d5h3h,A9753 (ds),(A9)7(53),24,12.08033,0.0057,40448992,46091,46464
46286,AcQd9c4d4c,AQ944 (3s2),(A94)(Q4),12,12.08033,0.00816,20224615,46040,46531
46287,KcQcTd8c2h,KQT82 (3s),(KQ8)T2,24,12.08028,0.00296,40442058,46179,46409
46288,KcJhJd8d2h,KJJ82 (ds),K(J8)(J2),24,12.08028,0.00222,40452224,46196,46395
46289,AcJcTd4c2h,AJT42 (3s),(AJ4)T2,24,12.08024,0.00423,40450280,46139,46427
46290,AcTc8c7c5d,AT875 (4s),(AT87)5,12,12.08013,0.00538,20224622,46125,46453
46291,KcThTd9d6s,KTT96 (ss),K(T9)T6,24,12.07998,0.00745,40446289,46060,46527
46292,KcQhQd4d2s,KQQ42 (ss),K(Q4)Q2,24,12.07998,0.00572,40450047,46125,46465
46293,KcQhQd7s3d,KQQ73 (ss),K(Q3)Q7,24,12.07976,0.00388,40464968,46142,46427
46294,KcQdJh8d5d,KQJ85 (3s),K(Q85)J,24,12.07973,0.00575,40454267,46125,46465
46295,AcTc8d8c3h,AT883 (3s),(AT8)83,24,12.07972,0.00578,40458569,46125,46474
46296,KcQdJh7h6h,KQJ76 (3s),KQ(J76),24,12.07971,0.00545,40437008,46125,46464
46297,AcKc9d8d3c,AK983 (3s2),(AK3)(98),12,12.07968,0.00308,20217671,46196,46427
46298,AcQd7h3d2c,AQ732 (ds),(A2)(Q3)7,24,12.07954,0.00627,40435929,46091,46495
46299,QcTc8d8c5d,QT885 (3s2),(QT8)(85),12,12.07954,0.00661,20230675,46091,46495
46300,AcQd9h6s3c,AQ963 (ss),(A3)Q96,24,12.07949,0.00302,40453372,46196,46427
46301,KcQd9c5d3c,KQ953 (3s2),(K93)(Q5),12,12.07938,0.00951,20229328,46008,46606
46302,KcQcTc7d3d,KQT73 (3s2),(KQT)(73),12,12.07916,0.00526,20221419,46131,46465
46303,Jc9d8c7d7c,J9877 (3s2),(J87)(97),12,12.07916,0.00834,20215707,46060,46574
46304,QcJd8h8c4d,QJ884 (ds),(Q8)(J4)8,24,12.0791,0.00721,40457195,46090,46531
46305,AcJdTd9d5d,AJT95 (4s),A(JT95),12,12.079,0.00979,20224764,46008,46616
46306,JcTc9d6c5d,JT965 (3s2),(JT6)(95),12,12.07879,0.00344,20216628,46196,46427
46307,KdKc7h4c3c,KK743 (3s),(K43)K7,24,12.07877,0.00508,40455219,46139,46465
46308,KcJd7c5c4d,KJ754 (3s2),(K75)(J4),12,12.07877,0.00631,20223286,46125,46505
46309,AcJcTd6c2h,AJT62 (3s),(AJ6)T2,24,12.07875,0.00565,40446473,46131,46495
46310,Ac9c7d5h3d,A9753 (ds),(A9)(73)5,24,12.07871,0.0075,40455060,46064,46566
46311,KcJc9d8d4c,KJ984 (3s2),(KJ4)(98),12,12.07867,0.0057,20223828,46131,46495
46312,KcThTd6h6d,KTT66 (ds),K(T6)(T6),12,12.07864,0.00678,20226313,46091,46527
46313,KcJd7d6d3c,KJ763 (3s2),(K3)(J76),12,12.07859,0.00525,20224614,46139,46495
46314,AcQhQd8s7s,AQQ87 (ss),AQQ(87),12,12.07858,0.00713,20230395,46091,46531
46315,QdQc6h4c2d,QQ642 (ds),(Q4)(Q2)6,24,12.07846,0.00463,40431908,46149,46464
46316,QcTd8d7c4h,QT874 (ds),(Q7)(T8)4,24,12.07843,0.00411,40448261,46179,46453
46317,QcJc9d7h7c,QJ977 (3s),(QJ7)97,24,12.07831,0.00636,40446460,46125,46527
46318,JdJcTh4s4c,JJT44 (ss),(J4)JT4,24,12.07822,0.00744,40448225,46091,46566
46319,QdQc7c6d2c,QQ762 (3s2),(Q72)(Q6),12,12.07815,0.0056,20229853,46139,46495
46320,KcJd9c8c5h,KJ985 (3s),(K98)J5,24,12.07799,0.00288,40452634,46196,46427
46321,AcTd9h8d7d,AT987 (3s),A(T87)9,24,12.07799,0.00627,40451078,46125,46527
46322,KcJdTc8c2c,KJT82 (4s),(KT82)J,12,12.07796,0.00658,20219315,46125,46531
46323,KcTd8d6d3c,KT863 (3s2),(K3)(T86),12,12.07785,0.00891,20219694,46060,46606
46324,QcTdTc4d3d,QTT43 (3s2),(QT)(T43),12,12.07785,0.0101,20222184,46011,46630
46325,QcThTd6d5h,QTT65 (ds),Q(T6)(T5),24,12.0776,0.00567,40444535,46139,46505
46326,JcTd9h9d5s,JT995 (ss),J(T9)95,24,12.07757,0.00583,40454144,46139,46506
46327,AcKc7h7d5c,AK775 (3s),(AK5)77,12,12.07743,0.01012,20223926,46011,46630
46328,AcQd9c5h3s,AQ953 (ss),(A9)Q53,24,12.07735,0.004,40457524,46196,46464
46329,KcJd9c8h5c,KJ985 (3s),(K95)J8,24,12.07731,0.0059,40446001,46139,46527
46330,AdAcTh2s2h,AAT22 (ss),AA(T2)2,12,12.07725,0.00338,20220602,46196,46453
46331,AcKd9s9h6d,AK996 (ss),A(K6)99,12,12.0772,0.00644,20220155,46131,46531
46332,KcTd8c6d3d,KT863 (3s2),(K8)(T63),12,12.07705,0.00367,20225784,46196,46462
46333,Ac9h9d7c2s,A9972 (ss),(A7)992,12,12.07699,0.00834,20223885,46067,46606
46334,QcJd7d7c5h,QJ775 (ds),(Q7)(J7)5,24,12.07695,0.00683,40442003,46125,46574
46335,AcQd9h8s7d,AQ987 (ss),A(Q7)98,24,12.07675,0.00337,40442681,46196,46453
46336,QcJdJc5h2h,QJJ52 (ds),(QJ)J(52),24,12.07674,0.00453,40454035,46196,46495
46337,QcTc8d6h5h,QT865 (ds),(QT)8(65),24,12.07672,0.00225,40441654,46235,46431
46338,Ac7d5h5c4h,A7554 (ds),(A5)7(54),24,12.07672,0.0029,40456181,46235,46453
46339,KcJd8c6d4c,KJ864 (3s2),(K84)(J6),12,12.07669,0.00445,20227088,46196,46495
46340,AcQcJc9c2d,AQJ92 (4s),(AQJ9)2,12,12.07657,0.00348,20223334,46196,46464
46341,KcJd7d5d5c,KJ755 (3s2),(K5)(J75),12,12.07657,0.00883,20231771,46064,46616
46342,QcJcTd3d2d,QJT32 (3s2),(QJ)(T32),12,12.07642,0.00569,20222966,46149,46531
46343,AcKc8d8c7c,AK887 (4s),(AK87)8,12,12.07632,0.00975,20223778,46060,46646
46344,AcKcQc8d5c,AKQ85 (4s),(AKQ5)8,12,12.07628,0.00511,20220507,46196,46506
46345,Kc9c7d6d5h,K9765 (ds),(K9)(76)5,24,12.07626,0.00471,40441649,46196,46495
46346,KcJd6h5d5c,KJ655 (ds),(K5)(J5)6,24,12.07615,0.00492,40448473,46196,46505
46347,QdQc7c5d2d,QQ752 (3s2),(Q7)(Q52),12,12.07605,0.00594,20229335,46149,46566
46348,KcQdJd9h3d,KQJ93 (3s),K(QJ3)9,24,12.07603,0.00458,40458243,46196,46495
46349,Ac9d6s6h5c,A9665 (ss),(A5)966,12,12.07599,0.00771,20227585,46125,46606
46350,AcJc5d4h4d,AJ544 (ds),(AJ)(54)4,24,12.07599,0.0051,40441193,46196,46527
46351,Ac9d6h5c3d,A9653 (ds),(A5)(93)6,24,12.07579,0.00631,40443938,46142,46574
46352,AcQc9d6c5h,AQ965 (3s),(AQ6)95,24,12.07567,0.00328,40452574,46235,46465
46353,AcQdJh5c2c,AQJ52 (3s),(A52)QJ,24,12.07554,0.00288,40446999,46239,46464
46354,AcKdJh8h7h,AKJ87 (3s),AK(J87),24,12.07541,0.00587,40446345,46179,46574
46355,AcKcQd5c2h,AKQ52 (3s),(AK5)Q2,24,12.07536,0.00382,40452321,46235,46495
46356,QcTdTc7d2d,QTT72 (3s2),(QT)(T72),12,12.07525,0.00697,20224679,46139,46594
46357,AcQdJd8h5s,AQJ85 (ss),A(QJ)85,24,12.07511,0.00556,40438839,46196,46566
46358,AcJd5c4h3h,AJ543 (ds),(A5)J(43),24,12.0751,0.00426,40444208,46223,46505
46359,JdJcTh5c4s,JJT54 (ss),(J5)JT4,24,12.07505,0.00546,40461124,46196,46566
46360,KcQhQd5d2d,KQQ52 (3s),K(Q52)Q,24,12.07457,0.00689,40446667,46149,46606
46361,KcJdTd7d5d,KJT75 (4s),K(JT75),12,12.07451,0.00651,20223564,46179,46594
46362,QcJd9c5d4h,QJ954 (ds),(Q9)(J5)4,24,12.07441,0.00491,40454536,46196,46531
46363,AcQcTc5c4d,AQT54 (4s),(AQT5)4,12,12.07413,0.0024,20214520,46255,46465
46364,Ac9d9c5d2d,A9952 (3s2),(A9)(952),12,12.07398,0.00775,20219607,46139,46630
46365,JdJc7s7h6c,JJ776 (ss),(J6)J77,12,12.07387,0.00678,20224973,46179,46606
46366,Ac8d6c5s5h,A8655 (ss),(A6)855,12,12.07382,0.00824,20210484,46131,46630
46367,KcJd9c8c6c,KJ986 (4s),(K986)J,12,12.07379,0.00672,20225124,46179,46606
46368,AcKdJc4h3c,AKJ43 (3s),(AJ3)K4,24,12.07376,0.00259,40447610,46255,46495
46369,KcQdTh8h6s,KQT86 (ss),KQ(T8)6,24,12.07371,0.00307,40444632,46242,46495
46370,AcTd9h3h3c,AT933 (ds),(A3)T(93),24,12.07371,0.0048,40449479,46235,46574
46371,Ac9c8c7c6d,A9876 (4s),(A987)6,12,12.07364,0.00517,20226325,46202,46574
46372,QcTc9d6d6c,QT966 (3s2),(QT6)(96),12,12.07362,0.00555,20218834,46196,46578
46373,KcJhJd8s7s,KJJ87 (ss),KJJ(87),12,12.07358,0.00554,20220055,46196,46578
46374,KcTc8d8c6c,KT886 (4s),(KT86)8,12,12.07354,0.01084,20232975,46060,46709
46375,Ac9d6h5d3c,A9653 (ds),(A3)(95)6,24,12.07352,0.00479,40442729,46235,46574
46376,QcTdTc8h3s,QTT83 (ss),(QT)T83,24,12.07349,0.00852,40437025,46131,46653
46377,JcTc9c8d5h,JT985 (3s),(JT9)85,24,12.07346,0.00496,40431688,46235,46574
46378,KcQd5c4c3d,KQ543 (3s2),(K54)(Q3),12,12.07342,0.00444,20231594,46235,46532
46379,KcQdTh3h2c,KQT32 (ds),(K2)Q(T3),24,12.07333,0.00458,40455314,46235,46574
46380,Kc9c8c7h7d,K9877 (3s),(K98)77,12,12.07332,0.00604,20227819,46196,46606
46381,AcKcTc9c2d,AKT92 (4s),(AKT9)2,12,12.07317,0.00921,20220789,46125,46671
46382,QcJdJc8h3c,QJJ83 (3s),(QJ3)J8,24,12.07311,0.00733,40455683,46149,46630
46383,AcTd8h6c4c,AT864 (3s),(A64)T8,24,12.07297,0.00533,40459004,46223,46578
46384,AcKc9d7c4d,AK974 (3s2),(AK7)(94),12,12.07292,0.00799,20223695,46142,46647
46385,QdQc8c4d3d,QQ843 (3s2),(Q8)(Q43),12,12.07281,0.00578,20226627,46201,46606
