rank,hand,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AA,6,55.86661,0.00139,4043445422,1,1
2,KK,6,49.77928,0.00137,4043349352,2,2
3,QQ,6,44.7226,0.00127,4043296242,3,3
4,JJ,6,40.25749,0.00141,4043274721,4,4
5,TT,6,36.33598,0.00122,4043371491,5,5
6,AKs,4,35.40186,0.00096,2695617423,6,6
7,AQs,4,33.69274,0.0009,2695570195,7,7
8,99,6,32.58951,0.00112,4043345171,8,8
9,KQs,4,32.4731,0.00106,2695550672,9,9
10,AKo,12,32.30988,0.00092,8086799991,10,10
11,AJs,4,32.24141,0.00091,2695565633,11,11
12,KJs,4,31.05685,0.00084,2695545895,12,12
13,ATs,4,31.00867,0.00071,2695630891,13,13
14,AQo,12,30.44496,0.00096,8086759888,14,14
15,QJs,4,30.18684,0.00108,2695516093,15,15
16,KTs,4,29.87322,0.00079,2695570523,16,16
17,88,6,29.46942,0.00103,4043438084,17,17
18,KQo,12,29.27571,0.00121,8086681535,18,18
19,QTs,4,29.04452,0.00104,2695570915,19,19
20,AJo,12,28.85757,0.00096,8086708154,20,20
21,JTs,4,28.62892,0.00082,2695568578,21,21
22,A9s,4,28.32138,0.00087,2695597446,22,22
23,KJo,12,27.72486,0.00093,8086645729,23,23
24,ATo,12,27.50522,0.0007,8086844205,24,24
25,A8s,4,27.34443,0.00069,2695613688,25,25
26,K9s,4,27.19443,0.00095,2695560428,26,26
27,QJo,12,26.92234,0.00093,8086629158,27,27
28,77,6,26.77036,0.00063,4043455258,28,28
29,KTo,12,26.426,0.00098,8086800737,29,29
30,Q9s,4,26.39925,0.00094,2695565048,30,30
31,A7s,4,26.39218,0.00092,2695622684,31,31
32,J9s,4,26.01418,0.00107,2695537863,32,32
33,A5s,4,25.98765,0.00094,2695623999,33,33
34,T9s,4,25.94704,0.00091,2695594015,34,34
35,QTo,12,25.66706,0.00094,8086746665,35,35
36,A6s,4,25.43827,0.00063,2695593582,36,36
37,A4s,4,25.35416,0.00075,2695523721,37,37
38,JTo,12,25.33156,0.00072,8086713752,38,38
39,K8s,4,25.15304,0.0006,2695592840,39,39
40,A3s,4,24.75144,0.00084,2695609502,40,40
41,A9o,12,24.58605,0.00099,8086824124,41,41
42,66,6,24.48167,0.00075,4043336943,42,42
43,K7s,4,24.37493,0.00075,2695601081,43,43
44,Q8s,4,24.37193,0.00094,2695566847,44,44
45,A2s,4,24.07404,0.00088,2695634143,45,45
46,J8s,4,24.0167,0.00085,2695557111,46,46
47,T8s,4,23.97791,0.00066,2695627531,47,47
48,98s,4,23.64325,0.00056,2695564010,48,48
49,K6s,4,23.60257,0.00088,2695571000,49,49
50,K9o,12,23.51427,0.001,8086707054,50,50
51,A8o,12,23.51115,0.00075,8086871691,51,51
52,K5s,4,22.95547,0.00101,2695572064,52,52
