rank,hand,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
53,Q9o,12,22.79091,0.00086,8086662325,53,53
54,Q7s,4,22.5225,0.00068,2695572108,54,54
55,T9o,12,22.50934,0.00098,8086805606,55,55
56,J9o,12,22.48877,0.00078,8086634798,56,56
57,A7o,12,22.46494,0.00084,8086903921,57,57
58,55,6,22.4258,0.00116,4043390594,58,58
59,K4s,4,22.37269,0.00085,2695496103,59,59
60,J7s,4,22.15743,0.00073,2695564025,60,60
61,T7s,4,22.134,0.00072,2695608312,61,61
62,87s,4,22.07817,0.00074,2695629094,62,62
63,97s,4,22.01609,0.00057,2695590594,63,63
64,A5o,12,21.99395,0.00096,8086845197,64,64
65,Q6s,4,21.90136,0.00054,2695552341,65,65
66,K3s,4,21.83833,0.00075,2695612728,66,66
67,A6o,12,21.41883,0.0007,8086795803,67,67
68,K2s,4,21.32444,0.00094,2695620587,68,68
69,K8o,12,21.29711,0.00069,8086788918,69,69
70,A4o,12,21.28698,0.00075,8086628375,70,70
71,Q5s,4,21.28213,0.00081,2695563286,71,71
72,76s,4,20.77726,0.00078,2695607091,72,72
73,Q4s,4,20.72025,0.00083,2695518269,73,73
74,A3o,12,20.61452,0.00097,8086853315,74,74
75,Q8o,12,20.58733,0.00082,8086721187,75,75
76,86s,4,20.57557,0.0007,2695564994,76,77
77,44,6,20.57425,0.00072,4043192091,76,77
78,J6s,4,20.46778,0.0007,2695550863,78,78
79,K7o,12,20.43711,0.00065,8086814742,79,79
80,T6s,4,20.41331,0.00073,2695582904,80,80
81,T8o,12,20.36706,0.00057,8086792061,81,81
82,96s,4,20.35135,0.00067,2695573685,82,82
83,J8o,12,20.31611,0.00093,8086712166,83,83
84,Q3s,4,20.19989,0.00089,2695603519,84,84
85,98o,12,20.07137,0.00055,8086770242,85,85
86,J5s,4,19.97479,0.00079,2695547659,86,86
87,A2o,12,19.86472,0.00093,8086880229,87,87
88,Q2s,4,19.69966,0.00078,2695593688,88,88
89,65s,4,19.68902,0.00065,2695571301,89,89
90,K6o,12,19.58601,0.00092,8086763785,90,90
91,J4s,4,19.43234,0.00057,2695478135,91,91
92,75s,4,19.38025,0.0005,2695606296,92,92
93,85s,4,19.02085,0.00073,2695585462,93,93
94,33,6,19.01062,0.00067,4043454805,94,94
95,J3s,4,18.92514,0.00079,2695582918,95,95
96,54s,4,18.91442,0.0007,2695522232,96,96
97,K5o,12,18.87199,0.00101,8086711766,97,97
98,T5s,4,18.85919,0.00044,2695600628,98,98
99,95s,4,18.75641,0.00082,2695591334,99,99
100,Q7o,12,18.57929,0.00068,8086737629,100,100
101,J2s,4,18.43736,0.00068,2695570786,101,101
102,T4s,4,18.42781,0.00079,2695512361,102,102
103,87o,12,18.42124,0.00067,8086829700,103,103
104,T7o,12,18.36334,0.00066,8086811335,104,104
105,64s,4,18.33691,0.001,2695534817,105,105
106,97o,12,18.30157,0.00045,8086781728,106,106
107,J7o,12,18.29685,0.00066,8086725285,107,107
108,K4o,12,18.21801,0.00093,8086553509,108,108
109,T3s,4,17.93387,0.00059,2695592926,109,109
110,Q6o,12,17.88917,0.00051,8086651442,110,110
111,74s,4,17.87317,0.00065,2695528054,111,111
112,22,6,17.72594,0.00063,4043449670,112,112
113,K3o,12,17.61976,0.00071,8086816201,113,113
114,53s,4,17.60094,0.0008,2695629099,114,114
115,84s,4,17.48405,0.00062,2695549947,115,115
116,T2s,4,17.45753,0.00054,2695628081,116,116
117,94s,4,17.27481,0.00069,2695523640,117,117
118,Q5o,12,17.20414,0.00084,8086652022,118,118
119,K2o,12,17.04654,0.00093,8086840451,119,120
120,76o,12,17.04478,0.00067,8086810368,119,120
121,43s,4,16.93348,0.00056,2695543426,121,121
122,93s,4,16.8836,0.00057,2695611889,122,122
123,63s,4,16.86933,0.0004,2695601868,123,123
124,86o,12,16.78882,0.00082,8086781242,124,124
125,Q4o,12,16.57232,0.00072,8086468379,125,125
126,T6o,12,16.49646,0.00076,8086754999,126,126
127,96o,12,16.49419,0.00072,8086701486,127,127
128,J6o,12,16.46263,0.00063,8086643370,128,128
129,92s,4,16.42076,0.00088,2695618924,129,129
130,73s,4,16.38252,0.00067,2695604042,130,130
131,52s,4,16.15693,0.00075,2695602757,131,131
132,83s,4,16.05617,0.00072,2695592145,132,132
133,Q3o,12,15.98976,0.00083,8086757927,133,133
134,J5o,12,15.91308,0.00081,8086650357,134,134
135,65o,12,15.8883,0.00063,8086700331,135,135
136,82s,4,15.69135,0.00055,2695622484,136,136
137,42s,4,15.6468,0.00079,2695535073,137,137
138,75o,12,15.53008,0.00062,8086797363,138,138
139,Q2o,12,15.43104,0.00068,8086768532,139,139
140,62s,4,15.40936,0.00051,2695598446,140,140
141,J4o,12,15.30148,0.0006,8086499319,141,141
142,85o,12,15.10358,0.00064,8086800196,142,142
143,54o,12,15.05178,0.00072,8086552661,143,143
144,32s,4,15.01343,0.00061,2695645542,144,144
145,72s,4,14.99096,0.00064,2695620336,145,145
146,T5o,12,14.81197,0.00043,8086790606,146,146
147,95o,12,14.76579,0.00076,8086710666,147,147
148,J3o,12,14.73253,0.00068,8086714999,148,148
149,64o,12,14.41463,0.00107,8086551225,149,149
150,T4o,12,14.31942,0.00062,8086597620,150,150
151,J2o,12,14.18689,0.00078,8086784208,151,151
152,74o,12,13.88946,0.00059,8086585120,152,152
153,T3o,12,13.76383,0.00068,8086859182,153,153
154,53o,12,13.62431,0.00053,8086793786,154,154
155,84o,12,13.43108,0.00059,8086593638,155,155
156,T2o,12,13.22978,0.00047,8086863451,156,156
157,94o,12,13.15164,0.00075,8086517371,157,157
158,43o,12,12.91266,0.00049,8086640541,158,158
159,63o,12,12.82147,0.00057,8086794315,159,159
160,93o,12,12.70606,0.00064,8086815770,160,160
161,73o,12,12.27036,0.00061,8086842619,161,161
162,92o,12,12.18637,0.00084,8086815852,162,162
163,52o,12,12.05915,0.00075,8086851910,163,163
164,83o,12,11.87891,0.00061,8086832558,164,164
165,42o,12,11.51745,0.00086,8086633226,165,165
166,82o,12,11.46385,0.00062,8086809412,166,166
167,62o,12,11.23899,0.00065,8086797700,167,167
168,32o,12,10.83143,0.0007,8086844249,168,168
169,72o,12,10.76066,0.00076,8086888001,169,169
