rank,hand,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AA,6,43.53964,0.00118,4030432445,1,1
2,KK,6,37.42926,0.00109,4030227147,2,2
3,QQ,6,32.53164,0.00114,4030394522,3,3
4,JJ,6,28.50589,0.00102,4030356290,4,4
5,AKs,4,27.69727,0.0009,2686924881,5,5
6,AQs,4,25.97005,0.00102,2686964945,6,6
7,TT,6,25.21954,0.00097,4030427402,7,7
8,KQs,4,25.14104,0.00119,2686907714,8,8
9,AJs,4,24.59812,0.00079,2686899970,9,9
10,AKo,12,24.39023,0.0008,8060681918,10,10
11,KJs,4,23.82468,0.0007,2686909303,11,11
12,ATs,4,23.5045,0.0008,2686914634,12,12
13,QJs,4,23.19639,0.00107,2686957794,13,13
14,KTs,4,22.7886,0.00079,2686909336,14,14
15,AQo,12,22.46784,0.00101,8060897774,15,15
16,99,6,22.42814,0.00078,4030332639,16,16
17,QTs,4,22.21648,0.00106,2686925882,17,17
18,JTs,4,22.00213,0.00072,2686926767,18,18
19,KQo,12,21.75287,0.00095,8060715724,19,19
20,A9s,4,21.07228,0.00096,2686896749,20,20
21,AJo,12,20.93676,0.00093,8060778547,21,21
22,K9s,4,20.33857,0.00075,2686853438,22,22
23,88,6,20.30203,0.00104,4030410714,23,23
24,KJo,12,20.28032,0.0007,8060643003,24,24
25,A8s,4,20.24753,0.00065,2686943440,25,25
26,Q9s,4,19.79699,0.00106,2686966429,26,26
27,QJo,12,19.76421,0.00099,8060809115,27,27
28,T9s,4,19.73886,0.0006,2686897496,28,28
29,ATo,12,19.71239,0.00077,8060862654,29,29
30,J9s,4,19.63198,0.00081,2686899293,30,30
31,A7s,4,19.5204,0.00075,2686944007,31,31
32,A5s,4,19.46397,0.00055,2686905395,32,32
33,KTo,12,19.1171,0.00081,8060725836,33,33
34,A4s,4,19.0454,0.00066,2686945672,34,34
35,A6s,4,18.87031,0.00087,2686924549,35,35
36,QTo,12,18.66116,0.00093,8060812012,36,36
37,A3s,4,18.63961,0.00077,2686953786,37,37
38,K8s,4,18.62847,0.00053,2686921383,38,38
39,77,6,18.59666,0.00067,4030392429,39,39
40,JTo,12,18.5661,0.00061,8060808590,40,40
41,A2s,4,18.13749,0.00075,2686982559,41,41
42,T8s,4,18.08098,0.00057,2686941638,42,43
43,Q8s,4,18.08046,0.00079,2686948824,42,43
44,K7s,4,18.00221,0.00052,2686921061,44,44
45,J8s,4,17.93556,0.00073,2686886193,45,45
46,98s,4,17.80749,0.00099,2686894213,46,46
47,K6s,4,17.44847,0.00075,2686873236,47,47
48,66,6,17.26253,0.00091,4030329944,48,48
49,A9o,12,17.05402,0.00102,8060759538,49,49
50,K5s,4,17.01001,0.00058,2686879545,50,50
51,87s,4,16.71337,0.00056,2686957743,51,51
52,K4s,4,16.62929,0.00072,2686865209,52,52
53,Q7s,4,16.58119,0.00077,2686951408,53,53
54,97s,4,16.55254,0.00059,2686945626,54,54
55,T7s,4,16.54402,0.00035,2686954629,55,55
56,K9o,12,16.43742,0.00049,8060606405,56,56
57,J7s,4,16.39708,0.00067,2686958120,57,57
58,K3s,4,16.29741,0.00058,2686891742,58,58
59,T9o,12,16.19653,0.00053,8060802667,59,59
60,A8o,12,16.13481,0.00065,8060808049,60,60
61,Q6s,4,16.10512,0.00075,2686908052,61,61
62,55,6,16.0667,0.00063,4030310986,62,62
63,Q9o,12,16.01288,0.00096,8060755377,63,63
64,K2s,4,15.98596,0.00065,2686918328,64,64
65,J9o,12,15.96908,0.0008,8060697219,65,65
66,76s,4,15.86279,0.00052,2686899620,66,66
67,Q5s,4,15.69718,0.00085,2686941110,67,67
68,86s,4,15.56947,0.00062,2686915682,68,68
69,Q4s,4,15.33496,0.00081,2686927137,69,69
70,A7o,12,15.32745,0.00067,8060894742,70,70
71,A5o,12,15.23433,0.00074,8060718095,71,71
72,44,6,15.22515,0.0009,4030372353,72,72
73,65s,4,15.20224,0.00061,2686897022,73,74
74,96s,4,15.20137,0.0008,2686913021,73,74
75,T6s,4,15.1353,0.00076,2686903063,75,75
76,J6s,4,15.05217,0.00069,2686921346,76,76
77,Q3s,4,15.0147,0.00084,2686956520,77,77
78,75s,4,14.81237,0.00053,2686904671,78,78
79,A4o,12,14.76469,0.00077,8060813195,79,80
80,54s,4,14.76449,0.00074,2686871816,79,80
81,Q2s,4,14.71517,0.0008,2686970992,81,81
82,J5s,4,14.70069,0.00066,2686908234,82,82
83,A6o,12,14.60659,0.00074,8060738045,83,83
84,33,6,14.59104,0.00065,4030415286,84,84
85,K8o,12,14.56696,0.00058,8060706680,85,85
86,T8o,12,14.37921,0.00077,8060841522,86,86
87,J4s,4,14.35312,0.00071,2686904613,87,87
88,85s,4,14.317,0.00057,2686932408,88,88
89,A3o,12,14.31345,0.00076,8060865393,89,89
90,98o,12,14.16658,0.00096,8060749087,90,90
91,64s,4,14.15827,0.00067,2686891841,91,91
92,22,6,14.1415,0.00095,4030517685,92,92
93,Q8o,12,14.13449,0.00076,8060849305,93,93
94,J8o,12,14.11246,0.00067,8060805515,94,94
95,J3s,4,14.04359,0.00066,2686911301,95,95
96,T5s,4,13.92163,0.00071,2686907468,96,96
