rank,hand,label,notation,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AdAcJhTdTc,AAJTT (ds),(AT)(AT)J,12,50.21138,0.00738,41840282,1,1
2,AdAcJdJcTh,AAJJT (ds),(AJ)(AJ)T,12,50.13655,0.01133,41834727,2,2
3,AdAcTdTc9h,AATT9 (ds),(AT)(AT)9,12,50.03385,0.01129,41841179,3,3
4,AdAcJcThTd,AAJTT (ds),(AJ)(AT)T,24,49.83634,0.00524,83671863,4,4
5,AdAcTdTc8h,AATT8 (ds),(AT)(AT)8,12,49.77697,0.00761,41833893,5,6
6,AdAcTh9d9c,AAT99 (ds),(A9)(A9)T,12,49.75746,0.01551,41837650,5,7
7,AdAcJhJcTd,AAJJT (ds),(AJ)(AT)J,24,49.74258,0.00881,83674439,6,7
8,AdAcThTc9d,AATT9 (ds),(AT)(A9)T,24,49.6302,0.00688,83671916,8,8
9,AdAcJcTd9h,AAJT9 (ds),(AJ)(AT)9,24,49.45468,0.01174,83679239,9,11
10,AdAcJcTh9d,AAJT9 (ds),(AJ)(A9)T,24,49.45084,0.0088,83680329,9,11
11,AdAcJhTc9d,AAJT9 (ds),(AT)(A9)J,24,49.44685,0.00991,83680977,9,11
12,AdAcThTc8d,AATT8 (ds),(AT)(A8)T,24,49.38226,0.00571,83654795,12,16
13,AdAcQcJdTh,AAQJT (ds),(AQ)(AJ)T,24,49.38085,0.00957,83674009,12,16
14,AdAcQhJcTd,AAQJT (ds),(AJ)(AT)Q,24,49.38043,0.009,83676862,12,16
15,AdAcTc9h9d,AAT99 (ds),(AT)(A9)9,24,49.3778,0.01758,83682798,12,16
16,AdAcQcJhTd,AAQJT (ds),(AQ)(AT)J,24,49.37534,0.01016,83681289,12,16
17,AdAcQhJdJc,AAQJJ (ds),(AJ)(AJ)Q,12,49.20879,0.01036,41840458,17,21
18,AdAcQdQcTh,AAQQT (ds),(AQ)(AQ)T,12,49.19374,0.01186,41838436,17,22
19,AdAcTc9h8d,AAT98 (ds),(AT)(A8)9,24,49.19274,0.01385,83676590,17,22
20,AdAcTh9c8d,AAT98 (ds),(A9)(A8)T,24,49.19236,0.01078,83670014,17,22
21,AdAcTh8d8c,AAT88 (ds),(A8)(A8)T,12,49.1876,0.01589,41832593,17,23
22,AdAcTc9d8h,AAT98 (ds),(AT)(A9)8,24,49.17568,0.01014,83675371,18,23
23,AdAcQdQcJh,AAQQJ (ds),(AQ)(AQ)J,12,49.15335,0.00916,41844427,21,24
24,AdAcQhTdTc,AAQTT (ds),(AT)(AT)Q,12,49.14008,0.00998,41838469,23,25
25,AdAcJcTd8h,AAJT8 (ds),(AJ)(AT)8,24,49.13105,0.00486,83672518,24,25
26,AdAcJhTc8d,AAJT8 (ds),(AT)(A8)J,24,49.1109,0.00746,83670612,26,28
27,AdAcJcTh8d,AAJT8 (ds),(AJ)(A8)T,24,49.1106,0.00851,83664009,26,28
28,AdAcTdTc7h,AATT7 (ds),(AT)(AT)7,12,49.0906,0.00897,41838085,26,28
29,AdAcJdJc9h,AAJJ9 (ds),(AJ)(AJ)9,12,49.03965,0.0093,41843536,29,29
30,AdAcJdJc8h,AAJJ8 (ds),(AJ)(AJ)8,12,48.87005,0.01072,41840293,30,30
31,AdAc9d9c8h,AA998 (ds),(A9)(A9)8,12,48.83986,0.00909,41839564,31,31
32,AdAcQcJhJd,AAQJJ (ds),(AQ)(AJ)J,24,48.81132,0.00859,83685780,32,34
33,AdAcTc8h8d,AAT88 (ds),(AT)(A8)8,24,48.79783,0.01363,83676429,32,34
34,AdAcQhQcTd,AAQQT (ds),(AQ)(AT)Q,24,48.79337,0.0104,83689149,32,34
