rank,hand,label,notation,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
1,AdAcTdTc9h,AATT9 (ds),(AT)(AT)9,12,66.40366,0.00766,81680279,1,1
2,AdAcTh9d9c,AAT99 (ds),(A9)(A9)T,12,66.34116,0.01259,81668593,2,2
3,AdAcJhTdTc,AAJTT (ds),(AT)(AT)J,12,66.27034,0.0094,81663869,3,4
4,AdAcTdTc8h,AATT8 (ds),(AT)(AT)8,12,66.26629,0.00666,81674036,3,4
5,AdAcTc9h8d,AAT98 (ds),(AT)(A8)9,24,66.23087,0.0083,163348355,5,7
6,AdAcTh9c8d,AAT98 (ds),(A9)(A8)T,24,66.2274,0.01029,163339217,5,7
7,AdAcTc9d8h,AAT98 (ds),(AT)(A9)8,24,66.21804,0.01027,163342702,5,7
8,AdAcJcTd9h,AAJT9 (ds),(AJ)(AT)9,24,66.08823,0.01218,163330954,8,11
9,AdAcJcTh9d,AAJT9 (ds),(AJ)(A9)T,24,66.0765,0.01269,163321252,8,11
10,AdAcJhTc9d,AAJT9 (ds),(AT)(A9)J,24,66.07333,0.01189,163321119,8,11
11,AdAcJdJcTh,AAJJT (ds),(AJ)(AJ)T,12,66.05423,0.01194,81653900,8,11
12,AdAcThTc9d,AATT9 (ds),(AT)(A9)T,24,65.99322,0.00803,163353120,12,12
13,AdAcTh8d8c,AAT88 (ds),(A8)(A8)T,12,65.96104,0.00722,81671410,13,15
14,AdAcTc9h9d,AAT99 (ds),(AT)(A9)9,24,65.95869,0.01021,163347364,13,18
15,AdAcTh8c7d,AAT87 (ds),(A8)(A7)T,24,65.95046,0.0073,163340024,13,18
16,AdAcTc8d7h,AAT87 (ds),(AT)(A8)7,24,65.9422,0.00525,163350838,14,18
17,AdAcJcTd8h,AAJT8 (ds),(AJ)(AT)8,24,65.93743,0.01135,163325512,13,20
18,AdAcTc8h7d,AAT87 (ds),(AT)(A7)8,24,65.93555,0.00661,163338486,14,19
19,AdAc9d9c8h,AA998 (ds),(A9)(A9)8,12,65.90898,0.01345,81665751,17,22
20,AdAcJcTh8d,AAJT8 (ds),(AJ)(A8)T,24,65.90882,0.01138,163325365,19,22
21,AdAcJhTc8d,AAJT8 (ds),(AT)(A8)J,24,65.9031,0.01042,163321856,19,22
22,AdAcJcThTd,AAJTT (ds),(AJ)(AT)T,24,65.89608,0.00993,163333479,19,22
23,AdAcThTc8d,AATT8 (ds),(AT)(A8)T,24,65.8642,0.00501,163349991,23,23
24,AdAcTdTc7h,AATT7 (ds),(AT)(AT)7,12,65.7695,0.00668,81681471,24,24
25,AdAc9h8d8c,AA988 (ds),(A8)(A8)9,12,65.72301,0.00778,81669413,25,25
26,AdAcJhJcTd,AAJJT (ds),(AJ)(AT)J,24,65.65428,0.01151,163304116,26,29
27,AdAcQcJdTh,AAQJT (ds),(AQ)(AJ)T,24,65.64858,0.01059,163340166,26,29
28,AdAcQcJhTd,AAQJT (ds),(AQ)(AT)J,24,65.6404,0.00834,163333746,26,29
29,AdAcQhJcTd,AAQJT (ds),(AJ)(AT)Q,24,65.63489,0.01047,163340747,26,29
30,AdAcTc8h8d,AAT88 (ds),(AT)(A8)8,24,65.56539,0.00756,163344045,30,30
31,AdAc9h9c8d,AA998 (ds),(A9)(A8)9,24,65.52744,0.01051,163333758,31,32
32,AdAc8d8c7h,AA887 (ds),(A8)(A8)7,12,65.51107,0.00507,81671031,31,32
33,AdAcJc9h8d,AAJ98 (ds),(AJ)(A8)9,24,65.46168,0.01451,163326837,33,38
34,AdAcJc9d8h,AAJ98 (ds),(AJ)(A9)8,24,65.45353,0.01611,163322399,33,38
35,AdAc9h8c7d,AA987 (ds),(A8)(A7)9,24,65.45097,0.00803,163330267,33,38
36,AdAcJh9c8d,AAJ98 (ds),(A9)(A8)J,24,65.44845,0.01489,163317115,33,38
37,AdAc9c8d7h,AA987 (ds),(A9)(A8)7,24,65.4298,0.00839,163338771,33,38
38,AdAc9c8h7d,AA987 (ds),(A9)(A7)8,24,65.42834,0.01116,163325227,33,40
39,AdAcTc9h7d,AAT97 (ds),(AT)(A7)9,24,65.40272,0.00848,163341879,38,42
40,AdAcTh9c7d,AAT97 (ds),(A9)(A7)T,24,65.39885,0.01129,163336703,38,43
41,AdAcTc9d7h,AAT97 (ds),(AT)(A9)7,24,65.39774,0.00973,163348999,39,43
42,AdAcQcTd9h,AAQT9 (ds),(AQ)(AT)9,24,65.38184,0.00727,163351475,39,44
43,AdAcQcTh9d,AAQT9 (ds),(AQ)(A9)T,24,65.37119,0.01053,163354628,40,47
44,AdAc8h7d7c,AA877 (ds),(A7)(A7)8,12,65.35725,0.01093,81664920,42,47
45,AdAcQhTc9d,AAQT9 (ds),(AT)(A9)Q,24,65.35186,0.0095,163350856,43,47
46,AdAcThTc7d,AATT7 (ds),(AT)(A7)T,24,65.35012,0.00877,163354549,43,47
47,AdAcJh9d9c,AAJ99 (ds),(A9)(A9)J,12,65.33737,0.0145,81653322,43,48
48,AdAc9c8h8d,AA988 (ds),(A9)(A8)8,24,65.31735,0.01119,163334282,47,50
49,AdAcJdJc9h,AAJJ9 (ds),(AJ)(AJ)9,12,65.29346,0.01368,81654272,48,53
50,AdAcQhTdTc,AAQTT (ds),(AT)(AT)Q,12,65.29127,0.00784,81682116,48,52
51,AdAcTh7d7c,AAT77 (ds),(A7)(A7)T,12,65.26591,0.01218,81673030,49,53
52,AdAcJdJc8h,AAJJ8 (ds),(AJ)(AJ)8,12,65.26504,0.01314,81658605,49,54
53,AdAc7d7c6h,AA776 (ds),(A7)(A7)6,12,65.26221,0.01045,81667120,51,53
54,AdAcTdTc6h,AATT6 (ds),(AT)(AT)6,12,65.23344,0.00897,81666189,54,56
55,AdAc9d9c7h,AA997 (ds),(A9)(A9)7,12,65.21359,0.01153,81667887,54,56
56,AdAc7d7c5h,AA775 (ds),(A7)(A7)5,12,65.20677,0.01128,81672224,54,56
57,AdAcJc8d7h,AAJ87 (ds),(AJ)(A8)7,24,65.16739,0.00874,163333965,57,63
58,AdAcJc8h7d,AAJ87 (ds),(AJ)(A7)8,24,65.15929,0.01188,163322513,57,66
59,AdAcTc7d6h,AAT76 (ds),(AT)(A7)6,24,65.15842,0.00706,163331744,57,63
60,AdAcJh8c7d,AAJ87 (ds),(A8)(A7)J,24,65.15585,0.01065,163319374,57,66
61,AdAcTh7c6d,AAT76 (ds),(A7)(A6)T,24,65.15448,0.0081,163338985,57,66
62,AdAcTc7h6d,AAT76 (ds),(AT)(A6)7,24,65.14922,0.0067,163349670,57,66
63,AdAc7h6d6c,AA766 (ds),(A6)(A6)7,12,65.14107,0.01104,81675920,57,67
64,AdAcQcTd8h,AAQT8 (ds),(AQ)(AT)8,24,65.13094,0.00902,163352669,60,68
65,AdAcJhThTc,AAJTT (ds),(AT)A(JT),24,65.12995,0.00982,163327012,60,68
66,AdAcQhJdJc,AAQJJ (ds),(AJ)(AJ)Q,12,65.12582,0.01273,81664878,60,70
67,AdAcJcTd7h,AAJT7 (ds),(AJ)(AT)7,24,65.11885,0.00876,163338873,63,70
